id,item_group_id,title,description,link,canonical_link,image_link,additional_image_link,price,availability,condition,brand,product_type,google_product_category,color,size
shopify_US_9995642241309_50483328549149,9995642241309,1/4'' 150/400mm Universal Soft Shaft Batch Head,"This powerful 1/4'' 150/400mm Universal Soft Shaft Batch Head is designed to reach hard-to-access fastening locations, providing maximum torque with minimal effort. Its flexible and durable construction ensures a secure grip and reliable performance. It can be connected to an electric drill, a rechargeable electric drill or manual wrench, stricture, reaches to the places to twist the screw and nut that the other drills are unable to arrive. The pick-up handle is applicable to all-electric drill and spanner, the functional head is provided with a lock and the magnetic device, ensure the sleeve will not drop. A professional tool to deal with the corners and stenosis problem that an ordinary screwdriver can not reach. Easily solve the repair of the car engine stricture uninstall screw. A good assistant of the screwdriver, auto repair necessary. Specifications: Material: Metal Size: 150mm/200mm/300mm/400mm Color: Silvery Package Includes: 1 x Universal Soft Shaft Batch Head",https://ilymix.com/products/1-4-150-400mm-universal-soft-shaft-batch-head-for-electric-drill-bit-holder-flexible-shaft-screwdriver-hex-shank-extension?variant=50483328549149,https://ilymix.com/products/1-4-150-400mm-universal-soft-shaft-batch-head-for-electric-drill-bit-holder-flexible-shaft-screwdriver-hex-shank-extension,https://cdn.shopify.com/s/files/1/0817/9508/8669/files/UniversalSoftShaftBatchHead3.jpg?v=1760086846,"https://cdn.shopify.com/s/files/1/0817/9508/8669/files/UniversalSoftShaftBatchHead_3.jpg?v=1760086846,https://cdn.shopify.com/s/files/1/0817/9508/8669/files/UniversalSoftShaftBatchHead_1.jpg?v=1760086847,https://cdn.shopify.com/s/files/1/0817/9508/8669/files/UniversalSoftShaftBatchHead4.jpg?v=1760086846,https://cdn.shopify.com/s/files/1/0817/9508/8669/files/UniversalSoftShaftBatchHead_2.jpg?v=1760086846,https://cdn.shopify.com/s/files/1/0817/9508/8669/files/UniversalSoftShaftBatchHead_4.jpg?v=1760086846,https://cdn.shopify.com/s/files/1/0817/9508/8669/files/UniversalSoftShaftBatchHead1.jpg?v=1760086846,https://cdn.shopify.com/s/files/1/0817/9508/8669/files/UniversalSoftShaftBatchHead2.jpg?v=1760086846,https://cdn.shopify.com/s/files/1/0817/9508/8669/files/UniversalSoftShaftBatchHead5.jpg?v=1760086846,https://cdn.shopify.com/s/files/1/0817/9508/8669/files/UniversalSoftShaftBatchHead6.jpg?v=1760086846",12.99 USD,in stock,new,Ilymix Accessories,Drill Bit Extensions,7140,,150mm
shopify_US_9995642241309_50483328581917,9995642241309,1/4'' 150/400mm Universal Soft Shaft Batch Head,"This powerful 1/4'' 150/400mm Universal Soft Shaft Batch Head is designed to reach hard-to-access fastening locations, providing maximum torque with minimal effort. Its flexible and durable construction ensures a secure grip and reliable performance. It can be connected to an electric drill, a rechargeable electric drill or manual wrench, stricture, reaches to the places to twist the screw and nut that the other drills are unable to arrive. The pick-up handle is applicable to all-electric drill and spanner, the functional head is provided with a lock and the magnetic device, ensure the sleeve will not drop. A professional tool to deal with the corners and stenosis problem that an ordinary screwdriver can not reach. Easily solve the repair of the car engine stricture uninstall screw. A good assistant of the screwdriver, auto repair necessary. Specifications: Material: Metal Size: 150mm/200mm/300mm/400mm Color: Silvery Package Includes: 1 x Universal Soft Shaft Batch Head",https://ilymix.com/products/1-4-150-400mm-universal-soft-shaft-batch-head-for-electric-drill-bit-holder-flexible-shaft-screwdriver-hex-shank-extension?variant=50483328581917,https://ilymix.com/products/1-4-150-400mm-universal-soft-shaft-batch-head-for-electric-drill-bit-holder-flexible-shaft-screwdriver-hex-shank-extension,https://cdn.shopify.com/s/files/1/0817/9508/8669/files/UniversalSoftShaftBatchHead3.jpg?v=1760086846,"https://cdn.shopify.com/s/files/1/0817/9508/8669/files/UniversalSoftShaftBatchHead_3.jpg?v=1760086846,https://cdn.shopify.com/s/files/1/0817/9508/8669/files/UniversalSoftShaftBatchHead_1.jpg?v=1760086847,https://cdn.shopify.com/s/files/1/0817/9508/8669/files/UniversalSoftShaftBatchHead4.jpg?v=1760086846,https://cdn.shopify.com/s/files/1/0817/9508/8669/files/UniversalSoftShaftBatchHead_2.jpg?v=1760086846,https://cdn.shopify.com/s/files/1/0817/9508/8669/files/UniversalSoftShaftBatchHead_4.jpg?v=1760086846,https://cdn.shopify.com/s/files/1/0817/9508/8669/files/UniversalSoftShaftBatchHead1.jpg?v=1760086846,https://cdn.shopify.com/s/files/1/0817/9508/8669/files/UniversalSoftShaftBatchHead2.jpg?v=1760086846,https://cdn.shopify.com/s/files/1/0817/9508/8669/files/UniversalSoftShaftBatchHead5.jpg?v=1760086846,https://cdn.shopify.com/s/files/1/0817/9508/8669/files/UniversalSoftShaftBatchHead6.jpg?v=1760086846",12.99 USD,in stock,new,Ilymix Accessories,Drill Bit Extensions,7140,,200mm
shopify_US_9995642241309_50483328614685,9995642241309,1/4'' 150/400mm Universal Soft Shaft Batch Head,"This powerful 1/4'' 150/400mm Universal Soft Shaft Batch Head is designed to reach hard-to-access fastening locations, providing maximum torque with minimal effort. Its flexible and durable construction ensures a secure grip and reliable performance. It can be connected to an electric drill, a rechargeable electric drill or manual wrench, stricture, reaches to the places to twist the screw and nut that the other drills are unable to arrive. The pick-up handle is applicable to all-electric drill and spanner, the functional head is provided with a lock and the magnetic device, ensure the sleeve will not drop. A professional tool to deal with the corners and stenosis problem that an ordinary screwdriver can not reach. Easily solve the repair of the car engine stricture uninstall screw. A good assistant of the screwdriver, auto repair necessary. Specifications: Material: Metal Size: 150mm/200mm/300mm/400mm Color: Silvery Package Includes: 1 x Universal Soft Shaft Batch Head",https://ilymix.com/products/1-4-150-400mm-universal-soft-shaft-batch-head-for-electric-drill-bit-holder-flexible-shaft-screwdriver-hex-shank-extension?variant=50483328614685,https://ilymix.com/products/1-4-150-400mm-universal-soft-shaft-batch-head-for-electric-drill-bit-holder-flexible-shaft-screwdriver-hex-shank-extension,https://cdn.shopify.com/s/files/1/0817/9508/8669/files/UniversalSoftShaftBatchHead3.jpg?v=1760086846,"https://cdn.shopify.com/s/files/1/0817/9508/8669/files/UniversalSoftShaftBatchHead_3.jpg?v=1760086846,https://cdn.shopify.com/s/files/1/0817/9508/8669/files/UniversalSoftShaftBatchHead_1.jpg?v=1760086847,https://cdn.shopify.com/s/files/1/0817/9508/8669/files/UniversalSoftShaftBatchHead4.jpg?v=1760086846,https://cdn.shopify.com/s/files/1/0817/9508/8669/files/UniversalSoftShaftBatchHead_2.jpg?v=1760086846,https://cdn.shopify.com/s/files/1/0817/9508/8669/files/UniversalSoftShaftBatchHead_4.jpg?v=1760086846,https://cdn.shopify.com/s/files/1/0817/9508/8669/files/UniversalSoftShaftBatchHead1.jpg?v=1760086846,https://cdn.shopify.com/s/files/1/0817/9508/8669/files/UniversalSoftShaftBatchHead2.jpg?v=1760086846,https://cdn.shopify.com/s/files/1/0817/9508/8669/files/UniversalSoftShaftBatchHead5.jpg?v=1760086846,https://cdn.shopify.com/s/files/1/0817/9508/8669/files/UniversalSoftShaftBatchHead6.jpg?v=1760086846",12.99 USD,in stock,new,Ilymix Accessories,Drill Bit Extensions,7140,,300mm
shopify_US_9995642241309_50483328647453,9995642241309,1/4'' 150/400mm Universal Soft Shaft Batch Head,"This powerful 1/4'' 150/400mm Universal Soft Shaft Batch Head is designed to reach hard-to-access fastening locations, providing maximum torque with minimal effort. Its flexible and durable construction ensures a secure grip and reliable performance. It can be connected to an electric drill, a rechargeable electric drill or manual wrench, stricture, reaches to the places to twist the screw and nut that the other drills are unable to arrive. The pick-up handle is applicable to all-electric drill and spanner, the functional head is provided with a lock and the magnetic device, ensure the sleeve will not drop. A professional tool to deal with the corners and stenosis problem that an ordinary screwdriver can not reach. Easily solve the repair of the car engine stricture uninstall screw. A good assistant of the screwdriver, auto repair necessary. Specifications: Material: Metal Size: 150mm/200mm/300mm/400mm Color: Silvery Package Includes: 1 x Universal Soft Shaft Batch Head",https://ilymix.com/products/1-4-150-400mm-universal-soft-shaft-batch-head-for-electric-drill-bit-holder-flexible-shaft-screwdriver-hex-shank-extension?variant=50483328647453,https://ilymix.com/products/1-4-150-400mm-universal-soft-shaft-batch-head-for-electric-drill-bit-holder-flexible-shaft-screwdriver-hex-shank-extension,https://cdn.shopify.com/s/files/1/0817/9508/8669/files/UniversalSoftShaftBatchHead3.jpg?v=1760086846,"https://cdn.shopify.com/s/files/1/0817/9508/8669/files/UniversalSoftShaftBatchHead_3.jpg?v=1760086846,https://cdn.shopify.com/s/files/1/0817/9508/8669/files/UniversalSoftShaftBatchHead_1.jpg?v=1760086847,https://cdn.shopify.com/s/files/1/0817/9508/8669/files/UniversalSoftShaftBatchHead4.jpg?v=1760086846,https://cdn.shopify.com/s/files/1/0817/9508/8669/files/UniversalSoftShaftBatchHead_2.jpg?v=1760086846,https://cdn.shopify.com/s/files/1/0817/9508/8669/files/UniversalSoftShaftBatchHead_4.jpg?v=1760086846,https://cdn.shopify.com/s/files/1/0817/9508/8669/files/UniversalSoftShaftBatchHead1.jpg?v=1760086846,https://cdn.shopify.com/s/files/1/0817/9508/8669/files/UniversalSoftShaftBatchHead2.jpg?v=1760086846,https://cdn.shopify.com/s/files/1/0817/9508/8669/files/UniversalSoftShaftBatchHead5.jpg?v=1760086846,https://cdn.shopify.com/s/files/1/0817/9508/8669/files/UniversalSoftShaftBatchHead6.jpg?v=1760086846",12.99 USD,in stock,new,Ilymix Accessories,Drill Bit Extensions,7140,,400mm
shopify_US_8962812674333_47413347418397,8962812674333,1990s Retro Vintage Cat Eye Sunglasses,"Featuring a sleek and retro design, these 90s cat eye sunglasses feature a thick frame with beautiful flat lenses. Finished with an exaggerated shape with rounded edges and high sitting arms, these edgy sunglasses are a total must-have. Made with a plastic based frame, reinforced metal hinges, and 100% UV protected lenses. Measurements: Lens Width: 48mm Nose Bridge: 22mm Lens Height: 33mm Total Width: 149mm",https://ilymix.com/products/retro-cateye-sunglasses?variant=47413347418397,https://ilymix.com/products/retro-cateye-sunglasses,https://cdn.shopify.com/s/files/1/0817/9508/8669/products/Black_Black_Lens_2.jpg?v=1704805086,"https://cdn.shopify.com/s/files/1/0817/9508/8669/products/Black_Black_Lens_1.jpg?v=1704805086,https://cdn.shopify.com/s/files/1/0817/9508/8669/products/Black_Blue_Lens.jpg?v=1704805086,https://cdn.shopify.com/s/files/1/0817/9508/8669/products/Black_Purple_Lens.jpg?v=1704805086,https://cdn.shopify.com/s/files/1/0817/9508/8669/products/White_Green_Sunglasses.jpg?v=1704805086,https://cdn.shopify.com/s/files/1/0817/9508/8669/products/White_Black_Lens.jpg?v=1704805086,https://cdn.shopify.com/s/files/1/0817/9508/8669/products/Red_Black_Lens.jpg?v=1704805086,https://cdn.shopify.com/s/files/1/0817/9508/8669/products/Tortoies_Brown_Sunglasses.jpg?v=1704805086,https://cdn.shopify.com/s/files/1/0817/9508/8669/products/IMG_7872.jpg?v=1704805086,https://cdn.shopify.com/s/files/1/0817/9508/8669/products/IMG_7866.jpg?v=1704805086,https://cdn.shopify.com/s/files/1/0817/9508/8669/products/IMG_7875.jpg?v=1704805086",19.95 USD,in stock,new,ILYMIX,Sunglasses,178,Black Smoke,
shopify_US_8962812674333_47413347451165,8962812674333,1990s Retro Vintage Cat Eye Sunglasses,"Featuring a sleek and retro design, these 90s cat eye sunglasses feature a thick frame with beautiful flat lenses. Finished with an exaggerated shape with rounded edges and high sitting arms, these edgy sunglasses are a total must-have. Made with a plastic based frame, reinforced metal hinges, and 100% UV protected lenses. Measurements: Lens Width: 48mm Nose Bridge: 22mm Lens Height: 33mm Total Width: 149mm",https://ilymix.com/products/retro-cateye-sunglasses?variant=47413347451165,https://ilymix.com/products/retro-cateye-sunglasses,https://cdn.shopify.com/s/files/1/0817/9508/8669/products/Black_Blue_Lens.jpg?v=1704805086,"https://cdn.shopify.com/s/files/1/0817/9508/8669/products/Black_Black_Lens_1.jpg?v=1704805086,https://cdn.shopify.com/s/files/1/0817/9508/8669/products/Black_Black_Lens_2.jpg?v=1704805086,https://cdn.shopify.com/s/files/1/0817/9508/8669/products/Black_Purple_Lens.jpg?v=1704805086,https://cdn.shopify.com/s/files/1/0817/9508/8669/products/White_Green_Sunglasses.jpg?v=1704805086,https://cdn.shopify.com/s/files/1/0817/9508/8669/products/White_Black_Lens.jpg?v=1704805086,https://cdn.shopify.com/s/files/1/0817/9508/8669/products/Red_Black_Lens.jpg?v=1704805086,https://cdn.shopify.com/s/files/1/0817/9508/8669/products/Tortoies_Brown_Sunglasses.jpg?v=1704805086,https://cdn.shopify.com/s/files/1/0817/9508/8669/products/IMG_7872.jpg?v=1704805086,https://cdn.shopify.com/s/files/1/0817/9508/8669/products/IMG_7866.jpg?v=1704805086,https://cdn.shopify.com/s/files/1/0817/9508/8669/products/IMG_7875.jpg?v=1704805086",19.95 USD,in stock,new,ILYMIX,Sunglasses,178,Black Blue,
shopify_US_8962812674333_47413347483933,8962812674333,1990s Retro Vintage Cat Eye Sunglasses,"Featuring a sleek and retro design, these 90s cat eye sunglasses feature a thick frame with beautiful flat lenses. Finished with an exaggerated shape with rounded edges and high sitting arms, these edgy sunglasses are a total must-have. Made with a plastic based frame, reinforced metal hinges, and 100% UV protected lenses. Measurements: Lens Width: 48mm Nose Bridge: 22mm Lens Height: 33mm Total Width: 149mm",https://ilymix.com/products/retro-cateye-sunglasses?variant=47413347483933,https://ilymix.com/products/retro-cateye-sunglasses,https://cdn.shopify.com/s/files/1/0817/9508/8669/products/Black_Purple_Lens.jpg?v=1704805086,"https://cdn.shopify.com/s/files/1/0817/9508/8669/products/Black_Black_Lens_1.jpg?v=1704805086,https://cdn.shopify.com/s/files/1/0817/9508/8669/products/Black_Black_Lens_2.jpg?v=1704805086,https://cdn.shopify.com/s/files/1/0817/9508/8669/products/Black_Blue_Lens.jpg?v=1704805086,https://cdn.shopify.com/s/files/1/0817/9508/8669/products/White_Green_Sunglasses.jpg?v=1704805086,https://cdn.shopify.com/s/files/1/0817/9508/8669/products/White_Black_Lens.jpg?v=1704805086,https://cdn.shopify.com/s/files/1/0817/9508/8669/products/Red_Black_Lens.jpg?v=1704805086,https://cdn.shopify.com/s/files/1/0817/9508/8669/products/Tortoies_Brown_Sunglasses.jpg?v=1704805086,https://cdn.shopify.com/s/files/1/0817/9508/8669/products/IMG_7872.jpg?v=1704805086,https://cdn.shopify.com/s/files/1/0817/9508/8669/products/IMG_7866.jpg?v=1704805086,https://cdn.shopify.com/s/files/1/0817/9508/8669/products/IMG_7875.jpg?v=1704805086",19.95 USD,in stock,new,ILYMIX,Sunglasses,178,Black Purple,
shopify_US_8962812674333_47413347516701,8962812674333,1990s Retro Vintage Cat Eye Sunglasses,"Featuring a sleek and retro design, these 90s cat eye sunglasses feature a thick frame with beautiful flat lenses. Finished with an exaggerated shape with rounded edges and high sitting arms, these edgy sunglasses are a total must-have. Made with a plastic based frame, reinforced metal hinges, and 100% UV protected lenses. Measurements: Lens Width: 48mm Nose Bridge: 22mm Lens Height: 33mm Total Width: 149mm",https://ilymix.com/products/retro-cateye-sunglasses?variant=47413347516701,https://ilymix.com/products/retro-cateye-sunglasses,https://cdn.shopify.com/s/files/1/0817/9508/8669/products/Red_Black_Lens.jpg?v=1704805086,"https://cdn.shopify.com/s/files/1/0817/9508/8669/products/Black_Black_Lens_1.jpg?v=1704805086,https://cdn.shopify.com/s/files/1/0817/9508/8669/products/Black_Black_Lens_2.jpg?v=1704805086,https://cdn.shopify.com/s/files/1/0817/9508/8669/products/Black_Blue_Lens.jpg?v=1704805086,https://cdn.shopify.com/s/files/1/0817/9508/8669/products/Black_Purple_Lens.jpg?v=1704805086,https://cdn.shopify.com/s/files/1/0817/9508/8669/products/White_Green_Sunglasses.jpg?v=1704805086,https://cdn.shopify.com/s/files/1/0817/9508/8669/products/White_Black_Lens.jpg?v=1704805086,https://cdn.shopify.com/s/files/1/0817/9508/8669/products/Tortoies_Brown_Sunglasses.jpg?v=1704805086,https://cdn.shopify.com/s/files/1/0817/9508/8669/products/IMG_7872.jpg?v=1704805086,https://cdn.shopify.com/s/files/1/0817/9508/8669/products/IMG_7866.jpg?v=1704805086,https://cdn.shopify.com/s/files/1/0817/9508/8669/products/IMG_7875.jpg?v=1704805086",19.95 USD,in stock,new,ILYMIX,Sunglasses,178,Red Smoke,
shopify_US_8962812674333_47413347549469,8962812674333,1990s Retro Vintage Cat Eye Sunglasses,"Featuring a sleek and retro design, these 90s cat eye sunglasses feature a thick frame with beautiful flat lenses. Finished with an exaggerated shape with rounded edges and high sitting arms, these edgy sunglasses are a total must-have. Made with a plastic based frame, reinforced metal hinges, and 100% UV protected lenses. Measurements: Lens Width: 48mm Nose Bridge: 22mm Lens Height: 33mm Total Width: 149mm",https://ilymix.com/products/retro-cateye-sunglasses?variant=47413347549469,https://ilymix.com/products/retro-cateye-sunglasses,https://cdn.shopify.com/s/files/1/0817/9508/8669/products/White_Black_Lens.jpg?v=1704805086,"https://cdn.shopify.com/s/files/1/0817/9508/8669/products/Black_Black_Lens_1.jpg?v=1704805086,https://cdn.shopify.com/s/files/1/0817/9508/8669/products/Black_Black_Lens_2.jpg?v=1704805086,https://cdn.shopify.com/s/files/1/0817/9508/8669/products/Black_Blue_Lens.jpg?v=1704805086,https://cdn.shopify.com/s/files/1/0817/9508/8669/products/Black_Purple_Lens.jpg?v=1704805086,https://cdn.shopify.com/s/files/1/0817/9508/8669/products/White_Green_Sunglasses.jpg?v=1704805086,https://cdn.shopify.com/s/files/1/0817/9508/8669/products/Red_Black_Lens.jpg?v=1704805086,https://cdn.shopify.com/s/files/1/0817/9508/8669/products/Tortoies_Brown_Sunglasses.jpg?v=1704805086,https://cdn.shopify.com/s/files/1/0817/9508/8669/products/IMG_7872.jpg?v=1704805086,https://cdn.shopify.com/s/files/1/0817/9508/8669/products/IMG_7866.jpg?v=1704805086,https://cdn.shopify.com/s/files/1/0817/9508/8669/products/IMG_7875.jpg?v=1704805086",19.95 USD,in stock,new,ILYMIX,Sunglasses,178,White Smoke,
shopify_US_8962812674333_47413347582237,8962812674333,1990s Retro Vintage Cat Eye Sunglasses,"Featuring a sleek and retro design, these 90s cat eye sunglasses feature a thick frame with beautiful flat lenses. Finished with an exaggerated shape with rounded edges and high sitting arms, these edgy sunglasses are a total must-have. Made with a plastic based frame, reinforced metal hinges, and 100% UV protected lenses. Measurements: Lens Width: 48mm Nose Bridge: 22mm Lens Height: 33mm Total Width: 149mm",https://ilymix.com/products/retro-cateye-sunglasses?variant=47413347582237,https://ilymix.com/products/retro-cateye-sunglasses,https://cdn.shopify.com/s/files/1/0817/9508/8669/products/White_Green_Sunglasses.jpg?v=1704805086,"https://cdn.shopify.com/s/files/1/0817/9508/8669/products/Black_Black_Lens_1.jpg?v=1704805086,https://cdn.shopify.com/s/files/1/0817/9508/8669/products/Black_Black_Lens_2.jpg?v=1704805086,https://cdn.shopify.com/s/files/1/0817/9508/8669/products/Black_Blue_Lens.jpg?v=1704805086,https://cdn.shopify.com/s/files/1/0817/9508/8669/products/Black_Purple_Lens.jpg?v=1704805086,https://cdn.shopify.com/s/files/1/0817/9508/8669/products/White_Black_Lens.jpg?v=1704805086,https://cdn.shopify.com/s/files/1/0817/9508/8669/products/Red_Black_Lens.jpg?v=1704805086,https://cdn.shopify.com/s/files/1/0817/9508/8669/products/Tortoies_Brown_Sunglasses.jpg?v=1704805086,https://cdn.shopify.com/s/files/1/0817/9508/8669/products/IMG_7872.jpg?v=1704805086,https://cdn.shopify.com/s/files/1/0817/9508/8669/products/IMG_7866.jpg?v=1704805086,https://cdn.shopify.com/s/files/1/0817/9508/8669/products/IMG_7875.jpg?v=1704805086",19.95 USD,in stock,new,ILYMIX,Sunglasses,178,White Green,
