id,item_group_id,title,description,link,canonical_link,image_link,additional_image_link,price,availability,condition,brand,product_type,google_product_category,color,size
shopify_US_7778729066584_41488055599192,7778729066584,2 in 1 Clear Cat Litter Scoop,"The 2-in-1 Clear Cat Litter Scoop has a push button on the handle for switching between smaller and larger holes, allowing for efficient scooping of various litter types. Its versatile design makes it a must-have tool for any cat owner, providing convenience and practicality. The 2 in 1 Clear Cat Litter Scoop is a practical solution for simplifying litter box upkeep. Constructed from sturdy, see-through material, it serves as a scoop and a sifter, resulting in a more hygienic and streamlined litter box experience. Enhance your cat's comfort and maintain a spotless home with this revolutionary product.",https://glampawstore.com/products/2-in-1-clear-cat-litter-scoop?variant=41488055599192,https://glampawstore.com/products/2-in-1-clear-cat-litter-scoop,https://cdn.shopify.com/s/files/1/0588/8484/9752/files/6_4026233a-6ff1-4087-b3d9-9e81d5767a63.png?v=1714012412,"https://cdn.shopify.com/s/files/1/0588/8484/9752/files/2_f7cbf029-a1a3-46ef-9d3a-ef07249f8173.png?v=1714012413,https://cdn.shopify.com/s/files/1/0588/8484/9752/files/1.png?v=1714012413,https://cdn.shopify.com/s/files/1/0588/8484/9752/files/3_66c31a81-14a0-47b8-8245-556dc5c4150b.png?v=1714012412,https://cdn.shopify.com/s/files/1/0588/8484/9752/files/4_7ba33301-2593-4368-845d-75664c26d1ef.png?v=1714012412,https://cdn.shopify.com/s/files/1/0588/8484/9752/files/5_6e0976f8-4779-4b97-8951-9621712424a0.png?v=1714012412,https://cdn.shopify.com/s/files/1/0588/8484/9752/files/7_c158fd3f-c3c0-4dd9-9abc-12518f8256da.png?v=1714012412,https://cdn.shopify.com/s/files/1/0588/8484/9752/files/8_e31736c0-e687-4b4d-a67a-9c629d698029.png?v=1714012412",12.99 USD,in stock,new,Glampawstore,Cat Litter,4999,Green,
shopify_US_7778729066584_41488055631960,7778729066584,2 in 1 Clear Cat Litter Scoop,"The 2-in-1 Clear Cat Litter Scoop has a push button on the handle for switching between smaller and larger holes, allowing for efficient scooping of various litter types. Its versatile design makes it a must-have tool for any cat owner, providing convenience and practicality. The 2 in 1 Clear Cat Litter Scoop is a practical solution for simplifying litter box upkeep. Constructed from sturdy, see-through material, it serves as a scoop and a sifter, resulting in a more hygienic and streamlined litter box experience. Enhance your cat's comfort and maintain a spotless home with this revolutionary product.",https://glampawstore.com/products/2-in-1-clear-cat-litter-scoop?variant=41488055631960,https://glampawstore.com/products/2-in-1-clear-cat-litter-scoop,https://cdn.shopify.com/s/files/1/0588/8484/9752/files/8_e31736c0-e687-4b4d-a67a-9c629d698029.png?v=1714012412,"https://cdn.shopify.com/s/files/1/0588/8484/9752/files/2_f7cbf029-a1a3-46ef-9d3a-ef07249f8173.png?v=1714012413,https://cdn.shopify.com/s/files/1/0588/8484/9752/files/1.png?v=1714012413,https://cdn.shopify.com/s/files/1/0588/8484/9752/files/3_66c31a81-14a0-47b8-8245-556dc5c4150b.png?v=1714012412,https://cdn.shopify.com/s/files/1/0588/8484/9752/files/4_7ba33301-2593-4368-845d-75664c26d1ef.png?v=1714012412,https://cdn.shopify.com/s/files/1/0588/8484/9752/files/5_6e0976f8-4779-4b97-8951-9621712424a0.png?v=1714012412,https://cdn.shopify.com/s/files/1/0588/8484/9752/files/6_4026233a-6ff1-4087-b3d9-9e81d5767a63.png?v=1714012412,https://cdn.shopify.com/s/files/1/0588/8484/9752/files/7_c158fd3f-c3c0-4dd9-9abc-12518f8256da.png?v=1714012412",12.99 USD,in stock,new,Glampawstore,Cat Litter,4999,White,
shopify_US_7778729066584_41488055664728,7778729066584,2 in 1 Clear Cat Litter Scoop,"The 2-in-1 Clear Cat Litter Scoop has a push button on the handle for switching between smaller and larger holes, allowing for efficient scooping of various litter types. Its versatile design makes it a must-have tool for any cat owner, providing convenience and practicality. The 2 in 1 Clear Cat Litter Scoop is a practical solution for simplifying litter box upkeep. Constructed from sturdy, see-through material, it serves as a scoop and a sifter, resulting in a more hygienic and streamlined litter box experience. Enhance your cat's comfort and maintain a spotless home with this revolutionary product.",https://glampawstore.com/products/2-in-1-clear-cat-litter-scoop?variant=41488055664728,https://glampawstore.com/products/2-in-1-clear-cat-litter-scoop,https://cdn.shopify.com/s/files/1/0588/8484/9752/files/7_c158fd3f-c3c0-4dd9-9abc-12518f8256da.png?v=1714012412,"https://cdn.shopify.com/s/files/1/0588/8484/9752/files/2_f7cbf029-a1a3-46ef-9d3a-ef07249f8173.png?v=1714012413,https://cdn.shopify.com/s/files/1/0588/8484/9752/files/1.png?v=1714012413,https://cdn.shopify.com/s/files/1/0588/8484/9752/files/3_66c31a81-14a0-47b8-8245-556dc5c4150b.png?v=1714012412,https://cdn.shopify.com/s/files/1/0588/8484/9752/files/4_7ba33301-2593-4368-845d-75664c26d1ef.png?v=1714012412,https://cdn.shopify.com/s/files/1/0588/8484/9752/files/5_6e0976f8-4779-4b97-8951-9621712424a0.png?v=1714012412,https://cdn.shopify.com/s/files/1/0588/8484/9752/files/6_4026233a-6ff1-4087-b3d9-9e81d5767a63.png?v=1714012412,https://cdn.shopify.com/s/files/1/0588/8484/9752/files/8_e31736c0-e687-4b4d-a67a-9c629d698029.png?v=1714012412",12.99 USD,in stock,new,Glampawstore,Cat Litter,4999,Gray,
shopify_US_8935325171800_44610366865496,8935325171800,2-in-1 Automatic Gravity Pet Feeder & Water Dispenser for Dogs & Cats,"Keep your dog or cat fed and hydrated at the same time with this space-saving 2-in-1 gravity feeder and water dispenser. All-day food &amp; water — the gravity-fed design automatically refills both bowls as your pet eats and drinks, so they're never left without Generous capacity — large hoppers mean less refilling, perfect for busy days or when you're away Removable, easy-clean bowls keep mealtime hygienic Sturdy non-slip base keeps the whole unit steady even around excited eaters Great for cats and dogs of all sizes",https://glampawstore.com/products/2-in-1-automatic-gravity-pet-feeder-water-dispenser-for-dogs-cats?variant=44610366865496,https://glampawstore.com/products/2-in-1-automatic-gravity-pet-feeder-water-dispenser-for-dogs-cats,https://cdn.shopify.com/s/files/1/0588/8484/9752/files/2_26e0f0fb-2242-4559-a1cb-be708d801f43.png?v=1786938913,"https://cdn.shopify.com/s/files/1/0588/8484/9752/files/3_b197bdcf-3d3b-4d4f-80bb-7bbb93a4ca38.png?v=1786938913,https://cdn.shopify.com/s/files/1/0588/8484/9752/files/4_b1fac73e-fb43-4c82-ba05-20eaf356a268.png?v=1786938913",34.99 USD,in stock,new,Glampawstore,Pet Feeders & Water Dispensers,6252,Navy,
shopify_US_8935325171800_44610367127640,8935325171800,2-in-1 Automatic Gravity Pet Feeder & Water Dispenser for Dogs & Cats,"Keep your dog or cat fed and hydrated at the same time with this space-saving 2-in-1 gravity feeder and water dispenser. All-day food &amp; water — the gravity-fed design automatically refills both bowls as your pet eats and drinks, so they're never left without Generous capacity — large hoppers mean less refilling, perfect for busy days or when you're away Removable, easy-clean bowls keep mealtime hygienic Sturdy non-slip base keeps the whole unit steady even around excited eaters Great for cats and dogs of all sizes",https://glampawstore.com/products/2-in-1-automatic-gravity-pet-feeder-water-dispenser-for-dogs-cats?variant=44610367127640,https://glampawstore.com/products/2-in-1-automatic-gravity-pet-feeder-water-dispenser-for-dogs-cats,https://cdn.shopify.com/s/files/1/0588/8484/9752/files/2_26e0f0fb-2242-4559-a1cb-be708d801f43.png?v=1786938913,"https://cdn.shopify.com/s/files/1/0588/8484/9752/files/3_b197bdcf-3d3b-4d4f-80bb-7bbb93a4ca38.png?v=1786938913,https://cdn.shopify.com/s/files/1/0588/8484/9752/files/4_b1fac73e-fb43-4c82-ba05-20eaf356a268.png?v=1786938913",34.99 USD,in stock,new,Glampawstore,Pet Feeders & Water Dispensers,6252,Yellow,
shopify_US_7778734833752_41488090202200,7778734833752,3 in 1 Cat Food Can Opener Feeding Spoon,"This 3 in 1 Cat Food Can Opener Feeding Spoon offers functionality and convenience to cat owners. Its versatile design allows for easy opening of cans, scooping out food, and serving it to your furry companion. The efficient design promotes effortless meal times and guarantees a mess-free experience. This 3 in 1 Cat Food Can Opener Feeding Spoon is an essential tool for cat owners. It efficiently opens food cans and has a feeding spoon for convenient portion control and mess-free feeding. Its lightweight and compact design make it a must-have for all cat lovers.",https://glampawstore.com/products/3-in-1-cat-food-can-opener-feeding-spoon?variant=41488090202200,https://glampawstore.com/products/3-in-1-cat-food-can-opener-feeding-spoon,https://cdn.shopify.com/s/files/1/0588/8484/9752/files/6_618dba23-cd9f-4ef5-9c29-c79429ca0ff0.png?v=1713269362,"https://cdn.shopify.com/s/files/1/0588/8484/9752/files/2_dec4f798-95df-4e8e-b542-78fb8ad6ccaa.png?v=1722602064,https://cdn.shopify.com/s/files/1/0588/8484/9752/files/1_8b5d4e1a-ab52-4460-bbd9-c1fe3274a46d.png?v=1722602064,https://cdn.shopify.com/s/files/1/0588/8484/9752/files/4_c92f363a-e498-465a-8ac5-e1ec65a68033.png?v=1713269362,https://cdn.shopify.com/s/files/1/0588/8484/9752/files/9_3d0d4829-1c8c-4437-98cd-724e73751546.png?v=1713269362,https://cdn.shopify.com/s/files/1/0588/8484/9752/files/7_51acdb92-a2c3-4cb5-b545-67fa19cd958f.png?v=1713269362,https://cdn.shopify.com/s/files/1/0588/8484/9752/files/5_c4d02b07-058a-476a-b82b-14b653ceb157.png?v=1713269362,https://cdn.shopify.com/s/files/1/0588/8484/9752/files/8_6f2d5018-d7b1-401d-a767-ba46cf095876.png?v=1713269362,https://cdn.shopify.com/s/files/1/0588/8484/9752/files/3_83ee17cf-d1a1-4484-b001-d9ed14d83a66.png?v=1713269362",12.99 USD,in stock,new,Pawpycup,Can Openers,6383,Pink,
shopify_US_7778734833752_41488090234968,7778734833752,3 in 1 Cat Food Can Opener Feeding Spoon,"This 3 in 1 Cat Food Can Opener Feeding Spoon offers functionality and convenience to cat owners. Its versatile design allows for easy opening of cans, scooping out food, and serving it to your furry companion. The efficient design promotes effortless meal times and guarantees a mess-free experience. This 3 in 1 Cat Food Can Opener Feeding Spoon is an essential tool for cat owners. It efficiently opens food cans and has a feeding spoon for convenient portion control and mess-free feeding. Its lightweight and compact design make it a must-have for all cat lovers.",https://glampawstore.com/products/3-in-1-cat-food-can-opener-feeding-spoon?variant=41488090234968,https://glampawstore.com/products/3-in-1-cat-food-can-opener-feeding-spoon,https://cdn.shopify.com/s/files/1/0588/8484/9752/files/7_51acdb92-a2c3-4cb5-b545-67fa19cd958f.png?v=1713269362,"https://cdn.shopify.com/s/files/1/0588/8484/9752/files/2_dec4f798-95df-4e8e-b542-78fb8ad6ccaa.png?v=1722602064,https://cdn.shopify.com/s/files/1/0588/8484/9752/files/1_8b5d4e1a-ab52-4460-bbd9-c1fe3274a46d.png?v=1722602064,https://cdn.shopify.com/s/files/1/0588/8484/9752/files/4_c92f363a-e498-465a-8ac5-e1ec65a68033.png?v=1713269362,https://cdn.shopify.com/s/files/1/0588/8484/9752/files/9_3d0d4829-1c8c-4437-98cd-724e73751546.png?v=1713269362,https://cdn.shopify.com/s/files/1/0588/8484/9752/files/6_618dba23-cd9f-4ef5-9c29-c79429ca0ff0.png?v=1713269362,https://cdn.shopify.com/s/files/1/0588/8484/9752/files/5_c4d02b07-058a-476a-b82b-14b653ceb157.png?v=1713269362,https://cdn.shopify.com/s/files/1/0588/8484/9752/files/8_6f2d5018-d7b1-401d-a767-ba46cf095876.png?v=1713269362,https://cdn.shopify.com/s/files/1/0588/8484/9752/files/3_83ee17cf-d1a1-4484-b001-d9ed14d83a66.png?v=1713269362",12.99 USD,in stock,new,Pawpycup,Can Openers,6383,Gray,
shopify_US_7778734833752_41488090267736,7778734833752,3 in 1 Cat Food Can Opener Feeding Spoon,"This 3 in 1 Cat Food Can Opener Feeding Spoon offers functionality and convenience to cat owners. Its versatile design allows for easy opening of cans, scooping out food, and serving it to your furry companion. The efficient design promotes effortless meal times and guarantees a mess-free experience. This 3 in 1 Cat Food Can Opener Feeding Spoon is an essential tool for cat owners. It efficiently opens food cans and has a feeding spoon for convenient portion control and mess-free feeding. Its lightweight and compact design make it a must-have for all cat lovers.",https://glampawstore.com/products/3-in-1-cat-food-can-opener-feeding-spoon?variant=41488090267736,https://glampawstore.com/products/3-in-1-cat-food-can-opener-feeding-spoon,https://cdn.shopify.com/s/files/1/0588/8484/9752/files/5_c4d02b07-058a-476a-b82b-14b653ceb157.png?v=1713269362,"https://cdn.shopify.com/s/files/1/0588/8484/9752/files/2_dec4f798-95df-4e8e-b542-78fb8ad6ccaa.png?v=1722602064,https://cdn.shopify.com/s/files/1/0588/8484/9752/files/1_8b5d4e1a-ab52-4460-bbd9-c1fe3274a46d.png?v=1722602064,https://cdn.shopify.com/s/files/1/0588/8484/9752/files/4_c92f363a-e498-465a-8ac5-e1ec65a68033.png?v=1713269362,https://cdn.shopify.com/s/files/1/0588/8484/9752/files/9_3d0d4829-1c8c-4437-98cd-724e73751546.png?v=1713269362,https://cdn.shopify.com/s/files/1/0588/8484/9752/files/6_618dba23-cd9f-4ef5-9c29-c79429ca0ff0.png?v=1713269362,https://cdn.shopify.com/s/files/1/0588/8484/9752/files/7_51acdb92-a2c3-4cb5-b545-67fa19cd958f.png?v=1713269362,https://cdn.shopify.com/s/files/1/0588/8484/9752/files/8_6f2d5018-d7b1-401d-a767-ba46cf095876.png?v=1713269362,https://cdn.shopify.com/s/files/1/0588/8484/9752/files/3_83ee17cf-d1a1-4484-b001-d9ed14d83a66.png?v=1713269362",19.99 USD,in stock,new,Pawpycup,Can Openers,6383,Pink With Lid,
shopify_US_7778734833752_41488090300504,7778734833752,3 in 1 Cat Food Can Opener Feeding Spoon,"This 3 in 1 Cat Food Can Opener Feeding Spoon offers functionality and convenience to cat owners. Its versatile design allows for easy opening of cans, scooping out food, and serving it to your furry companion. The efficient design promotes effortless meal times and guarantees a mess-free experience. This 3 in 1 Cat Food Can Opener Feeding Spoon is an essential tool for cat owners. It efficiently opens food cans and has a feeding spoon for convenient portion control and mess-free feeding. Its lightweight and compact design make it a must-have for all cat lovers.",https://glampawstore.com/products/3-in-1-cat-food-can-opener-feeding-spoon?variant=41488090300504,https://glampawstore.com/products/3-in-1-cat-food-can-opener-feeding-spoon,https://cdn.shopify.com/s/files/1/0588/8484/9752/files/8_6f2d5018-d7b1-401d-a767-ba46cf095876.png?v=1713269362,"https://cdn.shopify.com/s/files/1/0588/8484/9752/files/2_dec4f798-95df-4e8e-b542-78fb8ad6ccaa.png?v=1722602064,https://cdn.shopify.com/s/files/1/0588/8484/9752/files/1_8b5d4e1a-ab52-4460-bbd9-c1fe3274a46d.png?v=1722602064,https://cdn.shopify.com/s/files/1/0588/8484/9752/files/4_c92f363a-e498-465a-8ac5-e1ec65a68033.png?v=1713269362,https://cdn.shopify.com/s/files/1/0588/8484/9752/files/9_3d0d4829-1c8c-4437-98cd-724e73751546.png?v=1713269362,https://cdn.shopify.com/s/files/1/0588/8484/9752/files/6_618dba23-cd9f-4ef5-9c29-c79429ca0ff0.png?v=1713269362,https://cdn.shopify.com/s/files/1/0588/8484/9752/files/7_51acdb92-a2c3-4cb5-b545-67fa19cd958f.png?v=1713269362,https://cdn.shopify.com/s/files/1/0588/8484/9752/files/5_c4d02b07-058a-476a-b82b-14b653ceb157.png?v=1713269362,https://cdn.shopify.com/s/files/1/0588/8484/9752/files/3_83ee17cf-d1a1-4484-b001-d9ed14d83a66.png?v=1713269362",19.99 USD,in stock,new,Pawpycup,Can Openers,6383,Gray With Lid,
shopify_US_8382283710552_42897448009816,8382283710552,3 in 1 Multifunctional Pet Comb Hair Removal Detangling Brush,"This professional-grade 3-in-1 pet grooming tool combines a detangling brush, hair removal comb, and deshedding implement in one efficient design. Engineered with specialized teeth patterns to address multiple grooming needs, it effectively removes loose fur, gently detangles mats, and provides a thorough grooming experience for your pet while reducing shedding around your home. This veterinarian-approved 3-in-1 pet grooming tool combines detangling, deshedding, and hair removal functions in one ergonomic design. Featuring precision-engineered teeth configurations, it effectively eliminates mats, removes loose undercoat, and collects shed hair to maintain optimal coat health. The multifunctional design reduces grooming time while providing professional-quality results for all coat types.",https://glampawstore.com/products/3-in-1-multifunctional-pet-comb-hair-removal-detangling-brush,https://glampawstore.com/products/3-in-1-multifunctional-pet-comb-hair-removal-detangling-brush,https://cdn.shopify.com/s/files/1/0588/8484/9752/files/O1CN01KAjn5d1Bs33JRnXpz__0-0-cib.jpg?v=1747893540,"https://cdn.shopify.com/s/files/1/0588/8484/9752/files/1_816185c4-76a6-482f-8f9a-f456c68ef449.png?v=1747894533,https://cdn.shopify.com/s/files/1/0588/8484/9752/files/3_827da97c-3573-42dc-9096-6c2552780310.png?v=1747894533,https://cdn.shopify.com/s/files/1/0588/8484/9752/files/4_0f8bad6a-a41c-4927-92ec-0bc0350bb360.png?v=1747894533,https://cdn.shopify.com/s/files/1/0588/8484/9752/files/2_343571d0-224a-4cd5-84c6-4916d5c6ffbd.png?v=1747894533",29.99 USD,in stock,new,Glampawstore,Combs,6385,,
