id,item_group_id,title,description,link,canonical_link,image_link,additional_image_link,price,availability,condition,brand,product_type,google_product_category,color,size
shopify_US_10409935798456_53486519124152,10409935798456,Adorable Strawberry Squishy Toy Slow Rising Stress Relief Fun,"Add a charming touch to your daily routine with this delightful Kawaii Strawberry Squishy Toy. Crafted with a soft, slow-rising material, it offers a highly satisfying squeeze and smoothly bounces back to its original form. Featuring an appealing strawberry design in gentle pastel tones, it serves as an effective and enjoyable stress relief tool suitable for all ages. Ideal for easing anxiety, enhancing concentration, or simply enjoying a soothing ASMR experience, this squishy toy provides entertainment anytime and anywhere. Made from soft, durable materials, it guarantees lasting use and makes an excellent gift, desk accessory, or addition to any squishy collection.",https://kawaiigoo.com/products/adorable-strawberry-squishy-toy-slow-rising-stress-relief-fun,https://kawaiigoo.com/products/adorable-strawberry-squishy-toy-slow-rising-stress-relief-fun,https://cdn.shopify.com/s/files/1/0950/0069/0872/files/3eedf3c8-squeeze.webp?v=1779260628,,18.99 USD,in stock,new,Kawaiigoo,,1259,,
shopify_US_10421149663416_53518874509496,10421149663416,Banana Milk Chocolate Handmade Squishy Ball,"Brighten your day with this adorable handmade Banana Milk Chocolate squishy ball. Its soft-touch texture and satisfying flexibility make it a perfect choice for relaxation, fidgeting, and sensory enjoyment. ✨ Features Unique handmade style Stress-relieving squeeze Compact and portable Cute and fun design Diameter: 2.36 inches ⚠️ Special Notes Not edible",https://kawaiigoo.com/products/banana-milk-chocolate-handmade-squishy-ball,https://kawaiigoo.com/products/banana-milk-chocolate-handmade-squishy-ball,https://cdn.shopify.com/s/files/1/0950/0069/0872/files/t_1.png?v=1779961268,https://cdn.shopify.com/s/files/1/0950/0069/0872/files/t_2.png?v=1779961268,14.99 USD,in stock,new,Kawaiigoo,,1259,,
shopify_US_10409935700152_53486519320760,10409935700152,Bayberry Taba Squishy Toys,"Bayberry Taba Squishy Toys offer a high-quality, soft, and slow-rising texture designed to provide stress relief and sensory stimulation. Crafted with durable, non-toxic materials, these squishies maintain their shape after repeated use, making them ideal for both relaxation and focus enhancement. Their compact size ensures easy portability, perfect for on-the-go calming moments or desk use. Suitable for all ages, these toys combine tactile satisfaction with lasting durability. Bayberry Taba Squishy Toys are expertly designed to deliver a premium tactile experience with their soft, slow-rising foam construction. Engineered for durability and consistent rebound, these squishies provide effective stress relief and sensory engagement. Their ergonomic size and shape make them convenient for daily use, whether at work, school, or home. Made from safe, non-toxic materials, they are suitable for users seeking both relaxation and focus enhancement through tactile stimulation.",https://kawaiigoo.com/products/bayberry-taba-squishy-toys,https://kawaiigoo.com/products/bayberry-taba-squishy-toys,https://cdn.shopify.com/s/files/1/0950/0069/0872/files/4e4ea775-2_0ebb0f4a-ed02-4a25-9753-2a195134d08c.webp?v=1779260628,"https://cdn.shopify.com/s/files/1/0950/0069/0872/files/629b35c8-3_fac67e8c-1364-426e-8ff1-18ddbb767bd3.webp?v=1779260628,https://cdn.shopify.com/s/files/1/0950/0069/0872/files/8e02b55b-4_adac9176-3151-4fb3-bd03-84518d2f5e1e.webp?v=1779260628,https://cdn.shopify.com/s/files/1/0950/0069/0872/files/76abf388-1_25564671-28ae-47e6-b3e6-edd6df56a674.webp?v=1779260628",11.99 USD,in stock,new,Kawaiigoo,,1259,,
shopify_US_10421137277112_53518646476984,10421137277112,Butterfly Crunchy Sand Handmade Squishy Ball,"Add a little relaxation to your day with this adorable handmade butterfly crunchy sand squishy ball. Featuring a soft, flexible texture with a satisfying crunchy feel, it delivers a fun sensory squeeze that helps ease stress and keeps your hands busy anytime, anywhere. ✨ Features Handcrafted butterfly-inspired design Stress-relieving sensory experience Easy to carry around Cute desk companion Diameter: 1.97 inches ⚠️ Special Notes Not edible",https://kawaiigoo.com/products/butterfly-crunchy-sand-handmade-squishy-ball,https://kawaiigoo.com/products/butterfly-crunchy-sand-handmade-squishy-ball,https://cdn.shopify.com/s/files/1/0950/0069/0872/files/a_2_339d7cec-ce4b-487f-9b9c-ceed6830a849.png?v=1779958422,https://cdn.shopify.com/s/files/1/0950/0069/0872/files/a_1_c9f07688-01c5-4d98-933f-f8762e046170.png?v=1779958422,9.99 USD,in stock,new,Kawaiigoo,,1259,,
shopify_US_10422614917304_53523833749688,10422614917304,Cherry Handmade Squishy Ball,"Squeeze away stress with this adorable handmade cherry squishy ball. Perfectly sized at 2.36 inches, it's your ideal pocket-sized companion for relaxation and play. Each piece is uniquely crafted by hand, making it a charming collectible with a smooth, satisfying feel. Carry it anywhere for instant comfort and joy. ✨ Features Cute handmade style Smooth feel Stress relief support Easy to carry anywhere Collectible design Diameter: 2.36 inches ⚠️ Special Notes Texture may slightly change with use. Handmade variations are expected. Do not puncture or overstretch. Not edible / Do not eat. Not suitable for children under 3 years old.",https://kawaiigoo.com/products/cherry-handmade-squishy-ball,https://kawaiigoo.com/products/cherry-handmade-squishy-ball,https://cdn.shopify.com/s/files/1/0950/0069/0872/files/f_1_0ed98aea-eba8-4ac1-bb0e-dfc50e3773de.png?v=1780044973,https://cdn.shopify.com/s/files/1/0950/0069/0872/files/f_2_07e95c21-3160-4d0e-99b8-ecff7051baa7.png?v=1780044973,14.99 USD,in stock,new,Kawaiigoo,,1259,,
shopify_US_10409935732920_53486519189688,10409935732920,Chicken Squeeze Taba Squishy Toys,"Introducing Chicken Squeeze Taba Squishy Toys! Made with a soft, squeezable material, these toys are perfect for stress relief, hand strengthening, and sensory play. Their fun chicken design adds an extra element of play while also promoting relaxation and focus. Get yours today! Introducing Chicken Squeeze Taba Squishy Toys - the perfect stress reliever for both kids and adults! These toys are made of high-quality materials and are designed to help improve focus and relieve anxiety. With their adorable chicken design, these toys are not only fun to play with, but also provide therapeutic benefits. Grab yours today and experience the squishy sensation!",https://kawaiigoo.com/products/chicken-squeeze-taba-squishy-toys,https://kawaiigoo.com/products/chicken-squeeze-taba-squishy-toys,https://cdn.shopify.com/s/files/1/0950/0069/0872/files/ecd46693-O1CN01lUmEDV1vAy3mRlT0T__3844596133-0-cib.webp?v=1779260628,"https://cdn.shopify.com/s/files/1/0950/0069/0872/files/294ef47d-O1CN01rYlrhv1vAy3nEMKPn__3844596133-0-cib.webp?v=1779260628,https://cdn.shopify.com/s/files/1/0950/0069/0872/files/3bcc7bfe-O1CN01nw5nvX2CjdVC2X2vz__2218352548510-0-cib.webp?v=1779260628,https://cdn.shopify.com/s/files/1/0950/0069/0872/files/3dddb9e1-O1CN01tFUC9k1vAy3lg3rIF__3844596133-0-cib.webp?v=1779260628,https://cdn.shopify.com/s/files/1/0950/0069/0872/files/d5c9e35e-O1CN01Vqorxk2CjdVDb5dIf__2218352548510-0-cib.webp?v=1779260628",13.99 USD,in stock,new,Kawaiigoo,,1259,,
shopify_US_10422593519800_53523635011768,10422593519800,Chocolate Matcha Crunch Squishy Ball,"Squeeze your stress away with this cute handmade squishy ball! Soft, smooth, and satisfying to touch, it brings a fun and relaxing sensory experience for any time of the day. Inspired by chocolate crunch and matcha milk crunch textures, it features a playful dessert-style design. ✨ Features Cute handmade style Stress-relief sensory toy Easy to carry anywhere Adorable collectible design Diameter: 2.36 inches ⚠️ Special Notes Texture may change slightly with use. Handmade variations are normal and expected. Avoid puncturing or over-stretching. Not edible / Do not eat. Not suitable for children under 3 years old.",https://kawaiigoo.com/products/chocolate-matcha-crunch-squishy-ball?variant=53523635011768,https://kawaiigoo.com/products/chocolate-matcha-crunch-squishy-ball,https://cdn.shopify.com/s/files/1/0950/0069/0872/files/B_4_53fa9c6c-42a7-42fe-9b4a-1b2d15ff87a4.png?v=1780039346,"https://cdn.shopify.com/s/files/1/0950/0069/0872/files/B_5.png?v=1780039346,https://cdn.shopify.com/s/files/1/0950/0069/0872/files/B_2_eb2ea7de-e6d6-4085-abef-c1c92f655fd4.png?v=1780039346,https://cdn.shopify.com/s/files/1/0950/0069/0872/files/B_3_b944c3c9-8d75-4dfd-a33f-94f6e00d4640.png?v=1780039346,https://cdn.shopify.com/s/files/1/0950/0069/0872/files/B_6.png?v=1780039346,https://cdn.shopify.com/s/files/1/0950/0069/0872/files/B_1_e9ce18eb-248b-4ce8-aa20-ba0e27486220.png?v=1780039346",13.99 USD,in stock,new,Kawaiigoo,,1259,Brown,
shopify_US_10422593519800_53523635044536,10422593519800,Chocolate Matcha Crunch Squishy Ball,"Squeeze your stress away with this cute handmade squishy ball! Soft, smooth, and satisfying to touch, it brings a fun and relaxing sensory experience for any time of the day. Inspired by chocolate crunch and matcha milk crunch textures, it features a playful dessert-style design. ✨ Features Cute handmade style Stress-relief sensory toy Easy to carry anywhere Adorable collectible design Diameter: 2.36 inches ⚠️ Special Notes Texture may change slightly with use. Handmade variations are normal and expected. Avoid puncturing or over-stretching. Not edible / Do not eat. Not suitable for children under 3 years old.",https://kawaiigoo.com/products/chocolate-matcha-crunch-squishy-ball?variant=53523635044536,https://kawaiigoo.com/products/chocolate-matcha-crunch-squishy-ball,https://cdn.shopify.com/s/files/1/0950/0069/0872/files/B_3_b944c3c9-8d75-4dfd-a33f-94f6e00d4640.png?v=1780039346,"https://cdn.shopify.com/s/files/1/0950/0069/0872/files/B_5.png?v=1780039346,https://cdn.shopify.com/s/files/1/0950/0069/0872/files/B_2_eb2ea7de-e6d6-4085-abef-c1c92f655fd4.png?v=1780039346,https://cdn.shopify.com/s/files/1/0950/0069/0872/files/B_4_53fa9c6c-42a7-42fe-9b4a-1b2d15ff87a4.png?v=1780039346,https://cdn.shopify.com/s/files/1/0950/0069/0872/files/B_6.png?v=1780039346,https://cdn.shopify.com/s/files/1/0950/0069/0872/files/B_1_e9ce18eb-248b-4ce8-aa20-ba0e27486220.png?v=1780039346",13.99 USD,in stock,new,Kawaiigoo,,1259,Green,
shopify_US_10556749185208_54018818375864,10556749185208,Citrus Burst Crystal Squishy Ball,"Meet your new favorite desk-side stress reliever: the Citrus Burst Crystal Squishy Ball, a handmade squeeze toy with a glassy, crystal-clear shell wrapped around a soft, squishy center. Sculpted and colored to look just like a juicy sugar orange, it's oddly satisfying to hold, squeeze, and watch slowly spring back into shape. Crystal-Clear Citrus Shell , a glossy, jelly-like orange shell studded with tiny citrus-slice details for a realistic, almost edible-looking finish. Soft, Squishy Core , presses in with a smooth, slow-rising squeeze that's deeply satisfying for stress relief, fidgeting, or just decompressing at your desk. Handmade Detail , each ball is individually handcrafted, so subtle variations in color and pattern are part of the charm. Delicate Crystal Shell , the ultra-thin outer layer is part of the fun squeeze-and-burst experience — keep it away from direct heat, sunlight, or rough handling to keep it intact longer. Fun for All Ages , a playful fidget toy and conversation piece for stress relief, sensory play, or as a quirky little gift.",https://kawaiigoo.com/products/citrus-burst-crystal-squishy-ball,https://kawaiigoo.com/products/citrus-burst-crystal-squishy-ball,https://cdn.shopify.com/s/files/1/0950/0069/0872/files/final_1.jpg?v=1788228848,"https://cdn.shopify.com/s/files/1/0950/0069/0872/files/final_2.jpg?v=1788228857,https://cdn.shopify.com/s/files/1/0950/0069/0872/files/final_3.jpg?v=1788228863,https://cdn.shopify.com/s/files/1/0950/0069/0872/files/final_4.jpg?v=1788228869,https://cdn.shopify.com/s/files/1/0950/0069/0872/files/final_5.jpg?v=1788228877,https://cdn.shopify.com/s/files/1/0950/0069/0872/files/final_6.jpg?v=1788228884,https://cdn.shopify.com/s/files/1/0950/0069/0872/files/final_7.jpg?v=1788228889,https://cdn.shopify.com/s/files/1/0950/0069/0872/files/final_8.jpg?v=1788228896,https://cdn.shopify.com/s/files/1/0950/0069/0872/files/final_9.jpg?v=1788228901,https://cdn.shopify.com/s/files/1/0950/0069/0872/files/final_10.jpg?v=1788228907",16.99 USD,in stock,new,Kawaiigoo,Squishy Toy,1259,,
shopify_US_10422563340472_53523467468984,10422563340472,Classic Coconut Oil Handmade Squishy Ball,"Bring a little calm and joy to your day with this adorable handmade squishy ball. Inspired by a classic coconut oil aesthetic, it features a soft-touch texture and charming design that delivers a soothing sensory experience—perfect for helping you relax, unwind, and enjoy simple fidgeting moments. ✨ Features Handmade with love and care Soft and smooth texture Helps relieve stress and tension Portable and easy to carry Cute collectible aesthetic Diameter: 2.36 inches ⚠️ Special Notes Not edible / Do not eat. Not suitable for children under 3 years old.",https://kawaiigoo.com/products/classic-coconut-oil-handmade-squishy-ball?variant=53523467468984,https://kawaiigoo.com/products/classic-coconut-oil-handmade-squishy-ball,https://cdn.shopify.com/s/files/1/0950/0069/0872/files/A_5_ac3cd6c5-55e8-4da3-a940-3e0a2c96f2d9.png?v=1780033534,"https://cdn.shopify.com/s/files/1/0950/0069/0872/files/A_3_b87594a4-c34d-45ce-bb57-43f21dc48f02.png?v=1780033534,https://cdn.shopify.com/s/files/1/0950/0069/0872/files/A_4_dd2bb2dd-175c-47a0-9bc5-acf68f1a7737.png?v=1780033534,https://cdn.shopify.com/s/files/1/0950/0069/0872/files/A_2_04777221-1ac9-4994-9899-48f959c9bda8.png?v=1780033534,https://cdn.shopify.com/s/files/1/0950/0069/0872/files/A_1_07444c95-a0bf-414f-a900-046cc76950f8.png?v=1780033534",14.99 USD,in stock,new,Kawaiigoo,,1259,Clear pink,
