id,item_group_id,title,description,link,canonical_link,image_link,additional_image_link,price,availability,condition,brand,product_type,google_product_category,color,size
shopify_US_9215132926274_48114227708226,9215132926274,2 in 1 Clear Cat Litter Scoop,"This 2-in-1 Clear Cat Litter Scoop features a push button on the handle that allows you to easily switch between the smaller or larger holes for efficient scooping. The two different hole sizes provide versatility for scooping different types of litter, making it a convenient and practical tool for any cat owner. The 2 in 1 Clear Cat Litter Scoop is a versatile tool that makes litter box maintenance easier. Made from durable and transparent plastic, it serves as both a scoop and a sifter, ensuring a cleaner and more efficient litter box experience. Keep your cat happy and your home clean with this innovative product.",https://pawpycup.com/products/2-in-1-clear-cat-litter-scoop?variant=48114227708226,https://pawpycup.com/products/2-in-1-clear-cat-litter-scoop,https://cdn.shopify.com/s/files/1/0782/3402/6306/files/6_4026233a-6ff1-4087-b3d9-9e81d5767a63.png?v=1710815093,"https://cdn.shopify.com/s/files/1/0782/3402/6306/files/1_f8ad44fd-51fd-4ec6-8406-68a3dcb0c895.png?v=1710815091,https://cdn.shopify.com/s/files/1/0782/3402/6306/files/2_f7cbf029-a1a3-46ef-9d3a-ef07249f8173.png?v=1710815093,https://cdn.shopify.com/s/files/1/0782/3402/6306/files/3_66c31a81-14a0-47b8-8245-556dc5c4150b.png?v=1710815090,https://cdn.shopify.com/s/files/1/0782/3402/6306/files/4_7ba33301-2593-4368-845d-75664c26d1ef.png?v=1710815089,https://cdn.shopify.com/s/files/1/0782/3402/6306/files/5_6e0976f8-4779-4b97-8951-9621712424a0.png?v=1710815091,https://cdn.shopify.com/s/files/1/0782/3402/6306/files/7_c158fd3f-c3c0-4dd9-9abc-12518f8256da.png?v=1710815089,https://cdn.shopify.com/s/files/1/0782/3402/6306/files/8_e31736c0-e687-4b4d-a67a-9c629d698029.png?v=1710815092",12.99 USD,in stock,new,Pawpycup,Cat Litter,4999,Green,
shopify_US_9215132926274_48114227740994,9215132926274,2 in 1 Clear Cat Litter Scoop,"This 2-in-1 Clear Cat Litter Scoop features a push button on the handle that allows you to easily switch between the smaller or larger holes for efficient scooping. The two different hole sizes provide versatility for scooping different types of litter, making it a convenient and practical tool for any cat owner. The 2 in 1 Clear Cat Litter Scoop is a versatile tool that makes litter box maintenance easier. Made from durable and transparent plastic, it serves as both a scoop and a sifter, ensuring a cleaner and more efficient litter box experience. Keep your cat happy and your home clean with this innovative product.",https://pawpycup.com/products/2-in-1-clear-cat-litter-scoop?variant=48114227740994,https://pawpycup.com/products/2-in-1-clear-cat-litter-scoop,https://cdn.shopify.com/s/files/1/0782/3402/6306/files/8_e31736c0-e687-4b4d-a67a-9c629d698029.png?v=1710815092,"https://cdn.shopify.com/s/files/1/0782/3402/6306/files/1_f8ad44fd-51fd-4ec6-8406-68a3dcb0c895.png?v=1710815091,https://cdn.shopify.com/s/files/1/0782/3402/6306/files/2_f7cbf029-a1a3-46ef-9d3a-ef07249f8173.png?v=1710815093,https://cdn.shopify.com/s/files/1/0782/3402/6306/files/3_66c31a81-14a0-47b8-8245-556dc5c4150b.png?v=1710815090,https://cdn.shopify.com/s/files/1/0782/3402/6306/files/4_7ba33301-2593-4368-845d-75664c26d1ef.png?v=1710815089,https://cdn.shopify.com/s/files/1/0782/3402/6306/files/5_6e0976f8-4779-4b97-8951-9621712424a0.png?v=1710815091,https://cdn.shopify.com/s/files/1/0782/3402/6306/files/6_4026233a-6ff1-4087-b3d9-9e81d5767a63.png?v=1710815093,https://cdn.shopify.com/s/files/1/0782/3402/6306/files/7_c158fd3f-c3c0-4dd9-9abc-12518f8256da.png?v=1710815089",12.99 USD,in stock,new,Pawpycup,Cat Litter,4999,White,
shopify_US_9215132926274_48114227773762,9215132926274,2 in 1 Clear Cat Litter Scoop,"This 2-in-1 Clear Cat Litter Scoop features a push button on the handle that allows you to easily switch between the smaller or larger holes for efficient scooping. The two different hole sizes provide versatility for scooping different types of litter, making it a convenient and practical tool for any cat owner. The 2 in 1 Clear Cat Litter Scoop is a versatile tool that makes litter box maintenance easier. Made from durable and transparent plastic, it serves as both a scoop and a sifter, ensuring a cleaner and more efficient litter box experience. Keep your cat happy and your home clean with this innovative product.",https://pawpycup.com/products/2-in-1-clear-cat-litter-scoop?variant=48114227773762,https://pawpycup.com/products/2-in-1-clear-cat-litter-scoop,https://cdn.shopify.com/s/files/1/0782/3402/6306/files/7_c158fd3f-c3c0-4dd9-9abc-12518f8256da.png?v=1710815089,"https://cdn.shopify.com/s/files/1/0782/3402/6306/files/1_f8ad44fd-51fd-4ec6-8406-68a3dcb0c895.png?v=1710815091,https://cdn.shopify.com/s/files/1/0782/3402/6306/files/2_f7cbf029-a1a3-46ef-9d3a-ef07249f8173.png?v=1710815093,https://cdn.shopify.com/s/files/1/0782/3402/6306/files/3_66c31a81-14a0-47b8-8245-556dc5c4150b.png?v=1710815090,https://cdn.shopify.com/s/files/1/0782/3402/6306/files/4_7ba33301-2593-4368-845d-75664c26d1ef.png?v=1710815089,https://cdn.shopify.com/s/files/1/0782/3402/6306/files/5_6e0976f8-4779-4b97-8951-9621712424a0.png?v=1710815091,https://cdn.shopify.com/s/files/1/0782/3402/6306/files/6_4026233a-6ff1-4087-b3d9-9e81d5767a63.png?v=1710815093,https://cdn.shopify.com/s/files/1/0782/3402/6306/files/8_e31736c0-e687-4b4d-a67a-9c629d698029.png?v=1710815092",12.99 USD,in stock,new,Pawpycup,Cat Litter,4999,Gray,
shopify_US_10484101546306_55969910817090,10484101546306,2-in-1 Automatic Gravity Pet Feeder & Water Dispenser for Dogs & Cats,"Keep your dog or cat fed and hydrated at the same time with this space-saving 2-in-1 gravity feeder and water dispenser. All-day food &amp; water — the gravity-fed design automatically refills both bowls as your pet eats and drinks, so they're never left without Generous capacity — large hoppers mean less refilling, perfect for busy days or when you're away Removable, easy-clean bowls keep mealtime hygienic Sturdy non-slip base keeps the whole unit steady even around excited eaters Great for cats and dogs of all sizes",https://pawpycup.com/products/2-in-1-automatic-gravity-pet-feeder-water-dispenser-for-dogs-cats?variant=55969910817090,https://pawpycup.com/products/2-in-1-automatic-gravity-pet-feeder-water-dispenser-for-dogs-cats,https://cdn.shopify.com/s/files/1/0782/3402/6306/files/2_26e0f0fb-2242-4559-a1cb-be708d801f43.png?v=1787452860,"https://cdn.shopify.com/s/files/1/0782/3402/6306/files/3_b197bdcf-3d3b-4d4f-80bb-7bbb93a4ca38.png?v=1787452860,https://cdn.shopify.com/s/files/1/0782/3402/6306/files/4_b1fac73e-fb43-4c82-ba05-20eaf356a268.png?v=1787452860",34.99 USD,in stock,new,Pawpycup,Pet Feeders & Water Dispensers,6252,Navy,
shopify_US_10484101546306_55969910849858,10484101546306,2-in-1 Automatic Gravity Pet Feeder & Water Dispenser for Dogs & Cats,"Keep your dog or cat fed and hydrated at the same time with this space-saving 2-in-1 gravity feeder and water dispenser. All-day food &amp; water — the gravity-fed design automatically refills both bowls as your pet eats and drinks, so they're never left without Generous capacity — large hoppers mean less refilling, perfect for busy days or when you're away Removable, easy-clean bowls keep mealtime hygienic Sturdy non-slip base keeps the whole unit steady even around excited eaters Great for cats and dogs of all sizes",https://pawpycup.com/products/2-in-1-automatic-gravity-pet-feeder-water-dispenser-for-dogs-cats?variant=55969910849858,https://pawpycup.com/products/2-in-1-automatic-gravity-pet-feeder-water-dispenser-for-dogs-cats,https://cdn.shopify.com/s/files/1/0782/3402/6306/files/4_b1fac73e-fb43-4c82-ba05-20eaf356a268.png?v=1787452860,"https://cdn.shopify.com/s/files/1/0782/3402/6306/files/2_26e0f0fb-2242-4559-a1cb-be708d801f43.png?v=1787452860,https://cdn.shopify.com/s/files/1/0782/3402/6306/files/3_b197bdcf-3d3b-4d4f-80bb-7bbb93a4ca38.png?v=1787452860",34.99 USD,in stock,new,Pawpycup,Pet Feeders & Water Dispensers,6252,Yellow,
shopify_US_9185395310914_48037631295810,9185395310914,3 in 1 Cat Food Can Opener Feeding Spoon,"This 3 in 1 Cat Food Can Opener Feeding Spoon combines functionality and convenience for cat owners. With its versatile design, it can easily open cans, scoop out food, and serve it to your furry companion. Its efficient design makes meal times a breeze and ensures a mess-free experience. This 3 in 1 Cat Food Can Opener Feeding Spoon is a versatile tool for cat owners. The can opener easily removes food can lids, while the feeding spoon allows for portion control and mess-free feeding. Lightweight and compact, it is a must-have for any cat lover.",https://pawpycup.com/products/3-in-1-cat-food-can-opener-feeding-spoon?variant=48037631295810,https://pawpycup.com/products/3-in-1-cat-food-can-opener-feeding-spoon,https://cdn.shopify.com/s/files/1/0782/3402/6306/files/6_618dba23-cd9f-4ef5-9c29-c79429ca0ff0.png?v=1710056258,"https://cdn.shopify.com/s/files/1/0782/3402/6306/files/1_8b5d4e1a-ab52-4460-bbd9-c1fe3274a46d.png?v=1710056380,https://cdn.shopify.com/s/files/1/0782/3402/6306/files/2_dec4f798-95df-4e8e-b542-78fb8ad6ccaa.png?v=1710056380,https://cdn.shopify.com/s/files/1/0782/3402/6306/files/4_c92f363a-e498-465a-8ac5-e1ec65a68033.png?v=1710056380,https://cdn.shopify.com/s/files/1/0782/3402/6306/files/9_3d0d4829-1c8c-4437-98cd-724e73751546.png?v=1710056257,https://cdn.shopify.com/s/files/1/0782/3402/6306/files/7_51acdb92-a2c3-4cb5-b545-67fa19cd958f.png?v=1710056260,https://cdn.shopify.com/s/files/1/0782/3402/6306/files/5_c4d02b07-058a-476a-b82b-14b653ceb157.png?v=1710056259,https://cdn.shopify.com/s/files/1/0782/3402/6306/files/8_6f2d5018-d7b1-401d-a767-ba46cf095876.png?v=1710056255,https://cdn.shopify.com/s/files/1/0782/3402/6306/files/3_83ee17cf-d1a1-4484-b001-d9ed14d83a66.png?v=1710056262",12.99 USD,in stock,new,Pawpycup,Can Openers,6383,Pink,
shopify_US_9185395310914_48037631328578,9185395310914,3 in 1 Cat Food Can Opener Feeding Spoon,"This 3 in 1 Cat Food Can Opener Feeding Spoon combines functionality and convenience for cat owners. With its versatile design, it can easily open cans, scoop out food, and serve it to your furry companion. Its efficient design makes meal times a breeze and ensures a mess-free experience. This 3 in 1 Cat Food Can Opener Feeding Spoon is a versatile tool for cat owners. The can opener easily removes food can lids, while the feeding spoon allows for portion control and mess-free feeding. Lightweight and compact, it is a must-have for any cat lover.",https://pawpycup.com/products/3-in-1-cat-food-can-opener-feeding-spoon?variant=48037631328578,https://pawpycup.com/products/3-in-1-cat-food-can-opener-feeding-spoon,https://cdn.shopify.com/s/files/1/0782/3402/6306/files/7_51acdb92-a2c3-4cb5-b545-67fa19cd958f.png?v=1710056260,"https://cdn.shopify.com/s/files/1/0782/3402/6306/files/1_8b5d4e1a-ab52-4460-bbd9-c1fe3274a46d.png?v=1710056380,https://cdn.shopify.com/s/files/1/0782/3402/6306/files/2_dec4f798-95df-4e8e-b542-78fb8ad6ccaa.png?v=1710056380,https://cdn.shopify.com/s/files/1/0782/3402/6306/files/4_c92f363a-e498-465a-8ac5-e1ec65a68033.png?v=1710056380,https://cdn.shopify.com/s/files/1/0782/3402/6306/files/9_3d0d4829-1c8c-4437-98cd-724e73751546.png?v=1710056257,https://cdn.shopify.com/s/files/1/0782/3402/6306/files/6_618dba23-cd9f-4ef5-9c29-c79429ca0ff0.png?v=1710056258,https://cdn.shopify.com/s/files/1/0782/3402/6306/files/5_c4d02b07-058a-476a-b82b-14b653ceb157.png?v=1710056259,https://cdn.shopify.com/s/files/1/0782/3402/6306/files/8_6f2d5018-d7b1-401d-a767-ba46cf095876.png?v=1710056255,https://cdn.shopify.com/s/files/1/0782/3402/6306/files/3_83ee17cf-d1a1-4484-b001-d9ed14d83a66.png?v=1710056262",12.99 USD,in stock,new,Pawpycup,Can Openers,6383,Gray,
shopify_US_9185395310914_48037631361346,9185395310914,3 in 1 Cat Food Can Opener Feeding Spoon,"This 3 in 1 Cat Food Can Opener Feeding Spoon combines functionality and convenience for cat owners. With its versatile design, it can easily open cans, scoop out food, and serve it to your furry companion. Its efficient design makes meal times a breeze and ensures a mess-free experience. This 3 in 1 Cat Food Can Opener Feeding Spoon is a versatile tool for cat owners. The can opener easily removes food can lids, while the feeding spoon allows for portion control and mess-free feeding. Lightweight and compact, it is a must-have for any cat lover.",https://pawpycup.com/products/3-in-1-cat-food-can-opener-feeding-spoon?variant=48037631361346,https://pawpycup.com/products/3-in-1-cat-food-can-opener-feeding-spoon,https://cdn.shopify.com/s/files/1/0782/3402/6306/files/5_c4d02b07-058a-476a-b82b-14b653ceb157.png?v=1710056259,"https://cdn.shopify.com/s/files/1/0782/3402/6306/files/1_8b5d4e1a-ab52-4460-bbd9-c1fe3274a46d.png?v=1710056380,https://cdn.shopify.com/s/files/1/0782/3402/6306/files/2_dec4f798-95df-4e8e-b542-78fb8ad6ccaa.png?v=1710056380,https://cdn.shopify.com/s/files/1/0782/3402/6306/files/4_c92f363a-e498-465a-8ac5-e1ec65a68033.png?v=1710056380,https://cdn.shopify.com/s/files/1/0782/3402/6306/files/9_3d0d4829-1c8c-4437-98cd-724e73751546.png?v=1710056257,https://cdn.shopify.com/s/files/1/0782/3402/6306/files/6_618dba23-cd9f-4ef5-9c29-c79429ca0ff0.png?v=1710056258,https://cdn.shopify.com/s/files/1/0782/3402/6306/files/7_51acdb92-a2c3-4cb5-b545-67fa19cd958f.png?v=1710056260,https://cdn.shopify.com/s/files/1/0782/3402/6306/files/8_6f2d5018-d7b1-401d-a767-ba46cf095876.png?v=1710056255,https://cdn.shopify.com/s/files/1/0782/3402/6306/files/3_83ee17cf-d1a1-4484-b001-d9ed14d83a66.png?v=1710056262",19.99 USD,in stock,new,Pawpycup,Can Openers,6383,Pink With Lid,
shopify_US_9185395310914_48037631394114,9185395310914,3 in 1 Cat Food Can Opener Feeding Spoon,"This 3 in 1 Cat Food Can Opener Feeding Spoon combines functionality and convenience for cat owners. With its versatile design, it can easily open cans, scoop out food, and serve it to your furry companion. Its efficient design makes meal times a breeze and ensures a mess-free experience. This 3 in 1 Cat Food Can Opener Feeding Spoon is a versatile tool for cat owners. The can opener easily removes food can lids, while the feeding spoon allows for portion control and mess-free feeding. Lightweight and compact, it is a must-have for any cat lover.",https://pawpycup.com/products/3-in-1-cat-food-can-opener-feeding-spoon?variant=48037631394114,https://pawpycup.com/products/3-in-1-cat-food-can-opener-feeding-spoon,https://cdn.shopify.com/s/files/1/0782/3402/6306/files/8_6f2d5018-d7b1-401d-a767-ba46cf095876.png?v=1710056255,"https://cdn.shopify.com/s/files/1/0782/3402/6306/files/1_8b5d4e1a-ab52-4460-bbd9-c1fe3274a46d.png?v=1710056380,https://cdn.shopify.com/s/files/1/0782/3402/6306/files/2_dec4f798-95df-4e8e-b542-78fb8ad6ccaa.png?v=1710056380,https://cdn.shopify.com/s/files/1/0782/3402/6306/files/4_c92f363a-e498-465a-8ac5-e1ec65a68033.png?v=1710056380,https://cdn.shopify.com/s/files/1/0782/3402/6306/files/9_3d0d4829-1c8c-4437-98cd-724e73751546.png?v=1710056257,https://cdn.shopify.com/s/files/1/0782/3402/6306/files/6_618dba23-cd9f-4ef5-9c29-c79429ca0ff0.png?v=1710056258,https://cdn.shopify.com/s/files/1/0782/3402/6306/files/7_51acdb92-a2c3-4cb5-b545-67fa19cd958f.png?v=1710056260,https://cdn.shopify.com/s/files/1/0782/3402/6306/files/5_c4d02b07-058a-476a-b82b-14b653ceb157.png?v=1710056259,https://cdn.shopify.com/s/files/1/0782/3402/6306/files/3_83ee17cf-d1a1-4484-b001-d9ed14d83a66.png?v=1710056262",19.99 USD,in stock,new,Pawpycup,Can Openers,6383,Gray With Lid,
shopify_US_9971368984898_50622444699970,9971368984898,3 in 1 Multifunctional Pet Hair Removal Detangling Brush Comb,"This 3-in-1 multifunctional pet brush is your furry friend's new best friend (after you, of course)! Effortlessly detangle knots, remove loose fur, and keep your pet looking fabulous with just one handy tool. Say goodbye to fur-covered furniture and hello to happy pets who'll actually look forward to grooming time. Perfect for pets who think brushing is a game of chase! Tackle pet grooming with tail-wagging excitement! Our 3-in-1 brush magically detangles stubborn knots, sweeps away loose fur, and keeps your furry companion looking pawsitively fabulous. No more fur tumbleweeds rolling across your floor or dreaded grooming battles! This multifunctional wonder transforms grooming from a chore into quality bonding time that'll have your pet purring (or barking) for more. One tool, three functions, countless happy moments!",https://pawpycup.com/products/3-in-1-multifunctional-pet-comb-hair-removal-detangling-brush,https://pawpycup.com/products/3-in-1-multifunctional-pet-comb-hair-removal-detangling-brush,https://cdn.shopify.com/s/files/1/0782/3402/6306/files/O1CN01KAjn5d1Bs33JRnXpz__0-0-cib.jpg?v=1747894724,"https://cdn.shopify.com/s/files/1/0782/3402/6306/files/1_816185c4-76a6-482f-8f9a-f456c68ef449.png?v=1747894724,https://cdn.shopify.com/s/files/1/0782/3402/6306/files/3_827da97c-3573-42dc-9096-6c2552780310.png?v=1747894724,https://cdn.shopify.com/s/files/1/0782/3402/6306/files/4_0f8bad6a-a41c-4927-92ec-0bc0350bb360.png?v=1747894724,https://cdn.shopify.com/s/files/1/0782/3402/6306/files/2_343571d0-224a-4cd5-84c6-4916d5c6ffbd.png?v=1747894724",29.99 USD,in stock,new,Pawpycup,Combs,6385,,
