id,item_group_id,title,description,link,canonical_link,image_link,additional_image_link,price,availability,condition,brand,product_type,google_product_category,color,size
shopify_US_10224166797346_50376405286946,10224166797346,2-in-1 Bristle & Sponge Floor Scrub Brush - Telescoping Handle Bathroom Tile & Glass Cleaner,"Scrub the floor, then take on the shower wall with the same tool - this 2-in-1 brush pairs dense teal bristles on one edge with a scouring sponge face, all on a lightweight telescoping handle that lets you clean standing up. Dual-action head - fine bristles lift grime from tile lines while the sponge face wipes down glass and smooth surfaces Telescoping handle - extends to reach high walls and tub corners without a step stool Swivel head - pivots flat, angled, and vertical for full coverage on floors and walls Built-in squeegee strip - pulls water streaks away as you scrub Lightweight build - about 260g (0.57 lb), easy to handle with one hand Durable PP construction - stands up to water and everyday scrubbing",https://nestfinds.com/products/2-in-1-bristle-sponge-floor-scrub-brush-telescoping-handle-bathroom-tile-glass-cleaner,https://nestfinds.com/products/2-in-1-bristle-sponge-floor-scrub-brush-telescoping-handle-bathroom-tile-glass-cleaner,https://cdn.shopify.com/s/files/1/0906/9972/6882/files/bristle-sponge-floor-scrub-brush-1.jpg?v=1789968354,"https://cdn.shopify.com/s/files/1/0906/9972/6882/files/bristle-sponge-floor-scrub-brush-2.jpg?v=1789968357,https://cdn.shopify.com/s/files/1/0906/9972/6882/files/bristle-sponge-floor-scrub-brush-3.jpg?v=1789968361,https://cdn.shopify.com/s/files/1/0906/9972/6882/files/bristle-sponge-floor-scrub-brush-4.jpg?v=1789968364,https://cdn.shopify.com/s/files/1/0906/9972/6882/files/bristle-sponge-floor-scrub-brush-5.jpg?v=1789968368",26.99 USD,in stock,new,Nest Finds,Scrub Brushes,4670,,
shopify_US_8634640859170_47337714024482,8634640859170,2-in-1 Floor Scrub Brush with Scraper - Long Handle V-Shaped Bristle Tile & Grout Cleaner,"Cut through grime in tile lines, corners, and grout without kneeling - this long-handle scrub brush pairs stiff V-shaped bristles with a built-in scraper to handle both everyday dirt and stuck-on stains in one pass. V-shaped bristle head - reaches into corners and grout lines standard brushes miss Built-in scraper edge - lifts dried spills and stuck-on residue Long handle - scrub floors and low walls standing up, no more sore knees 360° flexible head - angles to match tile, tub, and baseboard surfaces Ideal for bathroom tile, kitchen floors, shower grout, and outdoor patios - one tool that replaces a scrub brush, a putty scraper, and a mop.",https://nestfinds.com/products/2-in-1-floor-scrub-brush-with-scraper-long-handle-v-shaped-bristle-tile-grout-cleaner,https://nestfinds.com/products/2-in-1-floor-scrub-brush-with-scraper-long-handle-v-shaped-bristle-tile-grout-cleaner,https://cdn.shopify.com/s/files/1/0906/9972/6882/files/9_7cce5713-0904-4333-9b82-bdbc7abe7be0.png?v=1788829890,"https://cdn.shopify.com/s/files/1/0906/9972/6882/files/3_a8045686-61e7-4e46-a372-a99356765cd8.png?v=1788829893,https://cdn.shopify.com/s/files/1/0906/9972/6882/files/2_115d143a-4eb6-4297-8124-b541851a93b7.png?v=1788829896,https://cdn.shopify.com/s/files/1/0906/9972/6882/files/7_b25f6880-083b-4c18-a36a-0b8378888868.png?v=1788829899,https://cdn.shopify.com/s/files/1/0906/9972/6882/files/5_3d035fe7-ccae-45ee-beb4-a9381fa0781a.png?v=1788829902,https://cdn.shopify.com/s/files/1/0906/9972/6882/files/4_fef09cd4-2ec6-4eab-be72-ba94314a527a.png?v=1788829905,https://cdn.shopify.com/s/files/1/0906/9972/6882/files/6_47785368-77e3-44ec-9696-401e82c7d2bf.png?v=1788829908",19.99 USD,in stock,new,Nest Finds,Home & Garden,536,,
shopify_US_8634682540066_47337813966882,8634682540066,2-in-1 Floor Scrub Brush with Water Scraper - Long Handle Tile & Grout Cleaner,"Scrub and dry floors in one motion - this 2-in-1 tool combines a stiff-bristle scrub brush with a built-in water scraper so you clean and clear away liquid residue without switching tools. 2-in-1 smart design - stiff bristle brush plus built-in water scraper Deep cleaning power - high-density bristles remove stubborn stains, dirt, and grease Integrated water scraper - pushes away water and foam for a streak-free finish Adjustable long handle - clean without bending or straining your back Rust-resistant build - engineered for wet environments Great for bathroom floors, kitchen spills, tile and grout, outdoor patios, and garage cleaning.",https://nestfinds.com/products/2-in-1-floor-scrub-brush-with-water-scraper-long-handle-tile-grout-cleaner,https://nestfinds.com/products/2-in-1-floor-scrub-brush-with-water-scraper-long-handle-tile-grout-cleaner,https://cdn.shopify.com/s/files/1/0906/9972/6882/files/3_5b3a41b2-5e1e-41b9-8fb9-15ce5eeb9f1b.png?v=1788831291,"https://cdn.shopify.com/s/files/1/0906/9972/6882/files/4_a865f2f2-7aa9-4a16-8061-fce4f8779119.png?v=1788831294,https://cdn.shopify.com/s/files/1/0906/9972/6882/files/1_9c5a9f68-9f28-4921-b301-fb57d45d9231.png?v=1788831297,https://cdn.shopify.com/s/files/1/0906/9972/6882/files/2_5d1744f8-ea6f-4ac2-bedb-784b5e909439.png?v=1788831299",24.99 USD,in stock,new,Nest Finds,Scrub Brushes,4670,,
shopify_US_8634681524258_47337811509282,8634681524258,2-in-1 Magnetic Bottle & Can Opener - Mushroom-Shaped Kitchen Tool,"Stop fumbling with bottle caps and can tabs - this mushroom-shaped opener handles both jobs in one compact tool. 2-in-1 function - the base pops bottle caps while the magnetic top opens soda and beer cans Strong magnetic grip - locks onto can tabs and catches loose bottle caps Fridge-ready magnet base - doubles as a fridge magnet, always within reach Comfortable rounded grip - smooth, slip-free opening Available in Vintage Red or Latte Cream - matches kitchen decor Compact and giftable - great for kitchens, bar carts, housewarmings, and White Elephant gifts.",https://nestfinds.com/products/2-in-1-magnetic-bottle-can-opener-mushroom-shaped-kitchen-tool?variant=47337811509282,https://nestfinds.com/products/2-in-1-magnetic-bottle-can-opener-mushroom-shaped-kitchen-tool,https://cdn.shopify.com/s/files/1/0906/9972/6882/files/img6_clean.jpg?v=1788831119,"https://cdn.shopify.com/s/files/1/0906/9972/6882/files/img7_clean.jpg?v=1788831122,https://cdn.shopify.com/s/files/1/0906/9972/6882/files/img3_clean.jpg?v=1788831127",12.99 USD,in stock,new,Nest Finds,Kitchen Utensils,4765,Vintage Red,
shopify_US_8634681524258_47337811542050,8634681524258,2-in-1 Magnetic Bottle & Can Opener - Mushroom-Shaped Kitchen Tool,"Stop fumbling with bottle caps and can tabs - this mushroom-shaped opener handles both jobs in one compact tool. 2-in-1 function - the base pops bottle caps while the magnetic top opens soda and beer cans Strong magnetic grip - locks onto can tabs and catches loose bottle caps Fridge-ready magnet base - doubles as a fridge magnet, always within reach Comfortable rounded grip - smooth, slip-free opening Available in Vintage Red or Latte Cream - matches kitchen decor Compact and giftable - great for kitchens, bar carts, housewarmings, and White Elephant gifts.",https://nestfinds.com/products/2-in-1-magnetic-bottle-can-opener-mushroom-shaped-kitchen-tool?variant=47337811542050,https://nestfinds.com/products/2-in-1-magnetic-bottle-can-opener-mushroom-shaped-kitchen-tool,https://cdn.shopify.com/s/files/1/0906/9972/6882/files/img7_clean.jpg?v=1788831122,"https://cdn.shopify.com/s/files/1/0906/9972/6882/files/img6_clean.jpg?v=1788831119,https://cdn.shopify.com/s/files/1/0906/9972/6882/files/img3_clean.jpg?v=1788831127",12.99 USD,in stock,new,Nest Finds,Kitchen Utensils,4765,Latte Cream,
shopify_US_8635319910434_47338723278882,8635319910434,2-in-1 Rotating Cleaning Brush - Multi-Surface Scrub Brush for Kitchen & Bathroom,"Cut scrubbing time with a rotating brush head that lifts dirt and grime from multiple surfaces without the repetitive elbow work. Rotating brush mechanism - deep-cleans with less manual scrubbing 2-in-1 dual-purpose design - adapts to kitchen and bathroom surfaces Adaptable bristle head - suits tile, grout, sinks, and fixtures Available in White, Brown, or Purple Great for sinks, tubs, tile, and stovetops - professional-level clean with everyday effort.",https://nestfinds.com/products/2-in-1-rotating-cleaning-brush-multi-surface-scrub-brush-for-kitchen-bathroom?variant=47338723278882,https://nestfinds.com/products/2-in-1-rotating-cleaning-brush-multi-surface-scrub-brush-for-kitchen-bathroom,https://cdn.shopify.com/s/files/1/0906/9972/6882/files/White.jpg?v=1788849452,"https://cdn.shopify.com/s/files/1/0906/9972/6882/files/1_950db471-721c-407d-9b2b-52ab202f3373.png?v=1788849421,https://cdn.shopify.com/s/files/1/0906/9972/6882/files/2_422c4468-992c-488e-b1cd-13689263086b.png?v=1788849425,https://cdn.shopify.com/s/files/1/0906/9972/6882/files/3_60863f46-7d28-4ac1-914b-7d24839ab0e9.png?v=1788849428,https://cdn.shopify.com/s/files/1/0906/9972/6882/files/4_4ef80573-f577-4353-b036-77f24069023f.png?v=1788849431,https://cdn.shopify.com/s/files/1/0906/9972/6882/files/5_678d626b-6e5e-4ac6-b853-decf985f7dce.png?v=1788849434,https://cdn.shopify.com/s/files/1/0906/9972/6882/files/6_c55f4d8e-2758-42ea-814c-35547c072f55.png?v=1788849437,https://cdn.shopify.com/s/files/1/0906/9972/6882/files/7_4edffaa4-8269-41f8-9d28-77ca0a2b825a.png?v=1788849440,https://cdn.shopify.com/s/files/1/0906/9972/6882/files/8_e90657a9-85b4-4ca3-8865-db2494f3abed.png?v=1788849443,https://cdn.shopify.com/s/files/1/0906/9972/6882/files/Brown.jpg?v=1788849446,https://cdn.shopify.com/s/files/1/0906/9972/6882/files/Purple.jpg?v=1788849449",12.99 USD,in stock,new,Nest Finds,Scrub Brushes,4670,White,
shopify_US_8635319910434_47338723311650,8635319910434,2-in-1 Rotating Cleaning Brush - Multi-Surface Scrub Brush for Kitchen & Bathroom,"Cut scrubbing time with a rotating brush head that lifts dirt and grime from multiple surfaces without the repetitive elbow work. Rotating brush mechanism - deep-cleans with less manual scrubbing 2-in-1 dual-purpose design - adapts to kitchen and bathroom surfaces Adaptable bristle head - suits tile, grout, sinks, and fixtures Available in White, Brown, or Purple Great for sinks, tubs, tile, and stovetops - professional-level clean with everyday effort.",https://nestfinds.com/products/2-in-1-rotating-cleaning-brush-multi-surface-scrub-brush-for-kitchen-bathroom?variant=47338723311650,https://nestfinds.com/products/2-in-1-rotating-cleaning-brush-multi-surface-scrub-brush-for-kitchen-bathroom,https://cdn.shopify.com/s/files/1/0906/9972/6882/files/Brown.jpg?v=1788849446,"https://cdn.shopify.com/s/files/1/0906/9972/6882/files/1_950db471-721c-407d-9b2b-52ab202f3373.png?v=1788849421,https://cdn.shopify.com/s/files/1/0906/9972/6882/files/2_422c4468-992c-488e-b1cd-13689263086b.png?v=1788849425,https://cdn.shopify.com/s/files/1/0906/9972/6882/files/3_60863f46-7d28-4ac1-914b-7d24839ab0e9.png?v=1788849428,https://cdn.shopify.com/s/files/1/0906/9972/6882/files/4_4ef80573-f577-4353-b036-77f24069023f.png?v=1788849431,https://cdn.shopify.com/s/files/1/0906/9972/6882/files/5_678d626b-6e5e-4ac6-b853-decf985f7dce.png?v=1788849434,https://cdn.shopify.com/s/files/1/0906/9972/6882/files/6_c55f4d8e-2758-42ea-814c-35547c072f55.png?v=1788849437,https://cdn.shopify.com/s/files/1/0906/9972/6882/files/7_4edffaa4-8269-41f8-9d28-77ca0a2b825a.png?v=1788849440,https://cdn.shopify.com/s/files/1/0906/9972/6882/files/8_e90657a9-85b4-4ca3-8865-db2494f3abed.png?v=1788849443,https://cdn.shopify.com/s/files/1/0906/9972/6882/files/Purple.jpg?v=1788849449,https://cdn.shopify.com/s/files/1/0906/9972/6882/files/White.jpg?v=1788849452",12.99 USD,in stock,new,Nest Finds,Scrub Brushes,4670,Brown,
shopify_US_8635319910434_47338723344418,8635319910434,2-in-1 Rotating Cleaning Brush - Multi-Surface Scrub Brush for Kitchen & Bathroom,"Cut scrubbing time with a rotating brush head that lifts dirt and grime from multiple surfaces without the repetitive elbow work. Rotating brush mechanism - deep-cleans with less manual scrubbing 2-in-1 dual-purpose design - adapts to kitchen and bathroom surfaces Adaptable bristle head - suits tile, grout, sinks, and fixtures Available in White, Brown, or Purple Great for sinks, tubs, tile, and stovetops - professional-level clean with everyday effort.",https://nestfinds.com/products/2-in-1-rotating-cleaning-brush-multi-surface-scrub-brush-for-kitchen-bathroom?variant=47338723344418,https://nestfinds.com/products/2-in-1-rotating-cleaning-brush-multi-surface-scrub-brush-for-kitchen-bathroom,https://cdn.shopify.com/s/files/1/0906/9972/6882/files/Purple.jpg?v=1788849449,"https://cdn.shopify.com/s/files/1/0906/9972/6882/files/1_950db471-721c-407d-9b2b-52ab202f3373.png?v=1788849421,https://cdn.shopify.com/s/files/1/0906/9972/6882/files/2_422c4468-992c-488e-b1cd-13689263086b.png?v=1788849425,https://cdn.shopify.com/s/files/1/0906/9972/6882/files/3_60863f46-7d28-4ac1-914b-7d24839ab0e9.png?v=1788849428,https://cdn.shopify.com/s/files/1/0906/9972/6882/files/4_4ef80573-f577-4353-b036-77f24069023f.png?v=1788849431,https://cdn.shopify.com/s/files/1/0906/9972/6882/files/5_678d626b-6e5e-4ac6-b853-decf985f7dce.png?v=1788849434,https://cdn.shopify.com/s/files/1/0906/9972/6882/files/6_c55f4d8e-2758-42ea-814c-35547c072f55.png?v=1788849437,https://cdn.shopify.com/s/files/1/0906/9972/6882/files/7_4edffaa4-8269-41f8-9d28-77ca0a2b825a.png?v=1788849440,https://cdn.shopify.com/s/files/1/0906/9972/6882/files/8_e90657a9-85b4-4ca3-8865-db2494f3abed.png?v=1788849443,https://cdn.shopify.com/s/files/1/0906/9972/6882/files/Brown.jpg?v=1788849446,https://cdn.shopify.com/s/files/1/0906/9972/6882/files/White.jpg?v=1788849452",12.99 USD,in stock,new,Nest Finds,Scrub Brushes,4670,Purple,
shopify_US_8634666221602_47337750200354,8634666221602,2-in-1 Stainless Steel Scrub Brush - Adjustable Long Handle with Detachable V-Shaped Head,"Scrub grout, tile, and tight corners without bending over - this 2-in-1 floor brush pairs a V-shaped bristle head with a stainless steel handle that adjusts from 23"" to 46.4"" to match your height and task. V-shaped bristle head - angles into corners and grout lines standard brushes can't reach 120° swivel head - pivots to follow tile, tub, and baseboard contours Detachable design - pop the head off for easy rinsing and compact storage Adjustable 23""-46.4"" handle - stainless steel pole extends to your ideal cleaning height Available in Green, White, or Khaki Built for bathroom tile, shower grout, and kitchen floors - reach every corner standing up, no knee pads required.",https://nestfinds.com/products/2-in-1-stainless-steel-scrub-brush-adjustable-long-handle-with-detachable-v-shaped-head?variant=47337750200354,https://nestfinds.com/products/2-in-1-stainless-steel-scrub-brush-adjustable-long-handle-with-detachable-v-shaped-head,https://cdn.shopify.com/s/files/1/0906/9972/6882/files/61fLgW6XAhL._AC_SL1000.jpg?v=1788830666,"https://cdn.shopify.com/s/files/1/0906/9972/6882/files/715MvxjJkhL._AC_SL1050.jpg?v=1788830668,https://cdn.shopify.com/s/files/1/0906/9972/6882/files/71jgRvqpwpL._AC_SL1500.jpg?v=1788830671,https://cdn.shopify.com/s/files/1/0906/9972/6882/files/81hxmWkLC2L._AC_SL1500.jpg?v=1788830674,https://cdn.shopify.com/s/files/1/0906/9972/6882/files/81OAmrCcbrL._AC_SL1500.jpg?v=1788830678,https://cdn.shopify.com/s/files/1/0906/9972/6882/files/71jvW3RMMAL._AC_SL1500.jpg?v=1788830680,https://cdn.shopify.com/s/files/1/0906/9972/6882/files/61z4xvdeKqL._AC_SL1500.jpg?v=1788830683,https://cdn.shopify.com/s/files/1/0906/9972/6882/files/71gHsnqoJPL._AC_SL1500.jpg?v=1788830686,https://cdn.shopify.com/s/files/1/0906/9972/6882/files/612gq9yD1ML._AC_SL1500.jpg?v=1788830689,https://cdn.shopify.com/s/files/1/0906/9972/6882/files/41UnyGxpuLL._AC.jpg?v=1788830691,https://cdn.shopify.com/s/files/1/0906/9972/6882/files/6138wrMVeML._AC_SL1500.jpg?v=1788830694",19.95 USD,in stock,new,Nest Finds,Scrub Brushes,4670,Green,
shopify_US_8634666221602_47337750233122,8634666221602,2-in-1 Stainless Steel Scrub Brush - Adjustable Long Handle with Detachable V-Shaped Head,"Scrub grout, tile, and tight corners without bending over - this 2-in-1 floor brush pairs a V-shaped bristle head with a stainless steel handle that adjusts from 23"" to 46.4"" to match your height and task. V-shaped bristle head - angles into corners and grout lines standard brushes can't reach 120° swivel head - pivots to follow tile, tub, and baseboard contours Detachable design - pop the head off for easy rinsing and compact storage Adjustable 23""-46.4"" handle - stainless steel pole extends to your ideal cleaning height Available in Green, White, or Khaki Built for bathroom tile, shower grout, and kitchen floors - reach every corner standing up, no knee pads required.",https://nestfinds.com/products/2-in-1-stainless-steel-scrub-brush-adjustable-long-handle-with-detachable-v-shaped-head?variant=47337750233122,https://nestfinds.com/products/2-in-1-stainless-steel-scrub-brush-adjustable-long-handle-with-detachable-v-shaped-head,https://cdn.shopify.com/s/files/1/0906/9972/6882/files/6138wrMVeML._AC_SL1500.jpg?v=1788830694,"https://cdn.shopify.com/s/files/1/0906/9972/6882/files/61fLgW6XAhL._AC_SL1000.jpg?v=1788830666,https://cdn.shopify.com/s/files/1/0906/9972/6882/files/715MvxjJkhL._AC_SL1050.jpg?v=1788830668,https://cdn.shopify.com/s/files/1/0906/9972/6882/files/71jgRvqpwpL._AC_SL1500.jpg?v=1788830671,https://cdn.shopify.com/s/files/1/0906/9972/6882/files/81hxmWkLC2L._AC_SL1500.jpg?v=1788830674,https://cdn.shopify.com/s/files/1/0906/9972/6882/files/81OAmrCcbrL._AC_SL1500.jpg?v=1788830678,https://cdn.shopify.com/s/files/1/0906/9972/6882/files/71jvW3RMMAL._AC_SL1500.jpg?v=1788830680,https://cdn.shopify.com/s/files/1/0906/9972/6882/files/61z4xvdeKqL._AC_SL1500.jpg?v=1788830683,https://cdn.shopify.com/s/files/1/0906/9972/6882/files/71gHsnqoJPL._AC_SL1500.jpg?v=1788830686,https://cdn.shopify.com/s/files/1/0906/9972/6882/files/612gq9yD1ML._AC_SL1500.jpg?v=1788830689,https://cdn.shopify.com/s/files/1/0906/9972/6882/files/41UnyGxpuLL._AC.jpg?v=1788830691",19.95 USD,in stock,new,Nest Finds,Scrub Brushes,4670,White,
